ID_Evento,Fecha_Evento,Tipo_Evento,Competicion,Rival,Local_Visitante,Goles_FCB,Goles_Rival,Resultado_Partido,Jugador_Clave,Estado_Jugador_Clave,Posesion_Porcentaje_FCB,Nivel_Rendimiento
1055,2024-09-13 00:00:00,Partido,Amistoso,Sevilla ,visitante,1,3,empate,Pedri,En Forma,49.1,Regular
1056,2025-01-09 00:00:00,Partido,La liga,Girona ,Visitante,2,0,derrota,Ter Stegen,En Forma,47.9,Regular
1057,2025-02-18 00:00:00,Entrenamiento,La Liga,PSG,Visitante,0,2,Victoria,Gavi,Lesionado,48.4,Regular
1058,2025-04-27 00:00:00,Rueda de Prensa,Amistoso,Bayern M.,local,4,2,Victoria,Ter Stegen,Lesionado,48.3,Bueno
1059,2025-04-28 00:00:00,Partido,La liga,Sevilla,local,3,1,Derrota,Lamine Yamal,Disponible,41.1,Regular
1060,2025-03-03 00:00:00,Entrenamiento,Amistoso,Real Madrid,visitante,1,3,victoria,Gavi,Disponible,67.8,Regular
1061,2025-04-09 00:00:00,Entrenamiento,Supercopa España,PSG,visitante,0,1,Victoria,Pedri,Disponible,46.4,Muy bueno
1062,2025-02-06 00:00:00,Partido,La Liga,Atlético Madrid,visitante,2,3,empate,Lewandowski,Disponible,52.6,normal
1063,2025-05-23 00:00:00,Partido,Supercopa España,Sevilla,Local,1,0,victoria,Lewandowski,Disponible,40.3,
1064,2025-03-01 00:00:00,Partido,champions league,Real Madrid,visitante,2,0,Empate,Ter Stegen,Indisponible,65.7,EXCELENTE
1065,2025-02-24 00:00:00,Partido,La Liga,Girona,visitante,3,0,derrota,Lewandowski,Sancionado,61.9,mal
1066,2025-03-25 00:00:00,Partido,Champions League,Real Madrid,local,4,0,victoria,Gavi,Lesionado,68.4,Bueno 
1067,2024-09-22 00:00:00,Partido,La liga,Real Madrid,visitante,1,2,derrota,Araujo,Disponible,63.4,Regular
1068,2025-05-07 00:00:00,Entrenamiento,La Liga,PSG,Local,1,2,victoria,Gavi,Disponible,49.4,Regular
1069,2025-03-05 00:00:00,Entrenamiento,champions league,Atlético Madrid,Local,3,1,Empate,Araujo,Disponible,47.4,Regular
1070,2025-04-09 00:00:00,Partido,champions league,Girona,local,0,3,Victoria,Pedri,Disponible,60.9,Regular
1071,2025-02-04 00:00:00,Partido,Supercopa España,Bayern M.,visitante,4,0,Empate,De Jong,Disponible,50.9,Regular
1072,2024-09-10 00:00:00,Partido,Amistoso,Bayern M.,visitante,1,0,Victoria,Araujo,Disponible,57.0,Bueno
1073,2025-01-04 00:00:00,Partido,La Liga,Real Madrid,Local,4,3,Victoria,Lewandowski,En Forma,40.2,Bueno
1074,2024-08-15 00:00:00,Partido,La liga,PSG,visitante,1,3,derrota,Gavi,Lesionado,41.9,Malo
1075,2024-10-04 00:00:00,Entrenamiento,La Liga,PSG,visitante,4,1,empate,Pedri,Disponible,56.1,Regular
1076,2024-08-09 00:00:00,Partido,Copa del Rey,Bayern M.,visitante,2,3,Empate,Lewandowski,Disponible,57.0,Regular
1077,2024-12-07 00:00:00,Entrenamiento,Amistoso,Girona,Visitante,1,0,victoria,Pedri,Disponible,62.5,Bueno
1078,2024-12-14 00:00:00,Rueda de Prensa,La liga,Atlético Madrid,local,4,0,Empate,De Jong,Disponible,44.0,Regular
1079,2024-10-02 00:00:00,Partido,La liga,Girona,Visitante,0,0,derrota,Lamine Yamal,En Forma,55.4,Regular
1080,2024-12-17 00:00:00,Entrenamiento,Champions League,Sevilla,local,2,0,Victoria,Gavi,Disponible,45.8,Bueno
1081,2024-10-20 00:00:00,Partido,Supercopa España,Sevilla,Local,2,0,derrota,Ter Stegen,Disponible,42.8,Regular
1082,2025-01-10 00:00:00,Partido,Champions League,Atlético Madrid,visitante,0,1,Derrota,Gavi,Disponible,52.3,Regular
1083,2025-05-16 00:00:00,Partido,La liga,Bayern M.,local,4,0,Derrota,De Jong,Disponible,44.9,Regular
1084,2025-04-18 00:00:00,Entrenamiento,Amistoso,Atlético Madrid,Visitante,3,1,victoria,Gavi,Disponible,46.7,Bueno
1085,2025-03-19 00:00:00,Partido,La Liga,PSG,visitante,0,0,derrota,Ter Stegen,Lesionado,49.5,Regular
1086,2024-09-10 00:00:00,Entrenamiento,La Liga,Sevilla,Local,4,2,victoria,Araujo,Lesionado,47.8,Bueno
1087,2024-08-28 00:00:00,Rueda de Prensa,Amistoso,Real Madrid,local,0,2,victoria,Pedri,Disponible,42.6,Regular
1088,2024-12-13 00:00:00,Partido,La liga,Real Madrid,local,0,2,Derrota,Ter Stegen,Disponible,42.7,Malo
1089,2025-02-17 00:00:00,Rueda de Prensa,champions league,Bayern M.,local,1,2,victoria,Lewandowski,Disponible,45.8,Regular
1090,2025-04-25 00:00:00,Partido,La Liga,PSG,visitante,4,1,Derrota,De Jong,Sancionado,41.5,Regular
1091,2024-09-02 00:00:00,Partido,champions league,Girona,Visitante,3,1,Victoria,Araujo,Disponible,58.8,Bueno
1092,2024-09-17 00:00:00,Partido,La Liga,PSG,Visitante,1,3,derrota,Lewandowski,Disponible,48.6,Malo
1093,2024-10-01 00:00:00,Partido,La Liga,Real Madrid,local,0,0,victoria,Lewandowski,Disponible,48.4,Regular
1094,2025-03-04 00:00:00,Entrenamiento,Supercopa España,Real Madrid,Local,0,2,Derrota,De Jong,Disponible,50.0,Malo
1095,2025-05-20 00:00:00,Partido,Supercopa España,Sevilla,Local,0,1,Empate,Araujo,Disponible,59.9,Regular
1096,2024-11-07 00:00:00,Partido,Copa del Rey,PSG,Visitante,4,0,victoria,Lamine Yamal,Disponible,66.1,Excelente
1097,2025-01-19 00:00:00,Rueda de Prensa,Champions League,PSG,Local,4,0,empate,Lewandowski,Disponible,62.8,Regular
1098,2025-03-02 00:00:00,Partido,Amistoso,Real Madrid,Visitante,1,1,Victoria,Lewandowski,Sancionado,61.8,Regular
1099,2024-09-04 00:00:00,Partido,Amistoso,Girona,local,3,2,Victoria,Araujo,Disponible,54.5,Bueno
1100,2025-03-15 00:00:00,Partido,Amistoso,Bayern M.,Visitante,1,3,Empate,Gavi,En Forma,60.8,Regular
1101,2024-11-09 00:00:00,Entrenamiento,Copa del Rey,Bayern M.,Visitante,2,0,Derrota,Lewandowski,Disponible,56.6,Regular
1102,2024-12-09 00:00:00,Partido,Supercopa España,PSG,local,0,3,victoria,Pedri,En Forma,46.5,Regular
1103,2025-04-14 00:00:00,Entrenamiento,La liga,Bayern M.,Local,0,2,Derrota,Araujo,Lesionado,46.3,Malo
1104,2024-08-05 00:00:00,Entrenamiento,champions league,Real Madrid,Visitante,0,2,Victoria,Lewandowski,Disponible,48.9,Regular
1105,2025-03-06 00:00:00,Partido,champions league,Real Madrid,Visitante,1,3,Derrota,De Jong,Sancionado,67.3,Malo
1106,2025-04-12 00:00:00,Partido,La liga,PSG,local,1,2,Victoria,Ter Stegen,Disponible,56.4,Regular
1107,2025-05-10 00:00:00,Partido,Copa del Rey,PSG,Local,0,0,Derrota,Pedri,En Forma,62.0,Regular
1108,2025-02-23 00:00:00,Partido,La liga,Sevilla,Visitante,1,3,Empate,Ter Stegen,Disponible,50.4,Regular
1109,2024-08-15 00:00:00,Partido,Amistoso,PSG,local,4,2,derrota,Ter Stegen,Disponible,52.2,Regular
1110,2024-09-11 00:00:00,Partido,Champions League,Girona,Visitante,4,3,Empate,Lewandowski,Disponible,43.8,Regular
1111,2025-01-26 00:00:00,Partido,La Liga,Bayern M.,visitante,1,0,Empate,Pedri,Indisponible,45.1,Regular
1112,2024-10-02 00:00:00,Partido,champions league,PSG,local,0,2,derrota,Pedri,Disponible,64.8,Malo
1113,2025-03-19 00:00:00,Partido,Supercopa España,Atlético Madrid,Local,1,0,derrota,Gavi,Disponible,57.5,Regular
1114,2025-03-29 00:00:00,Partido,Supercopa España,Sevilla,Local,1,2,victoria,Ter Stegen,Lesionado,50.1,Regular
1115,2024-09-21 00:00:00,Partido,Copa del Rey,Atlético Madrid,Local,1,1,victoria,Pedri,Lesionado,64.1,Regular
1116,2024-11-04 00:00:00,Partido,Supercopa España,Real Madrid,Local,2,2,Empate,Gavi,Disponible,47.4,Regular
1117,2025-03-10 00:00:00,Partido,Amistoso,Bayern M.,Visitante,4,3,Empate,Araujo,Disponible,69.3,Regular
1118,2025-03-19 00:00:00,Partido,champions league,PSG,Visitante,3,2,Victoria,Gavi,Disponible,50.3,Bueno
1119,2025-03-25 00:00:00,Partido,La liga,Atlético Madrid,Local,3,0,Victoria,De Jong,Disponible,50.1,Excelente
1120,2024-12-21 00:00:00,Entrenamiento,Amistoso,Bayern M.,Local,2,0,victoria,Lamine Yamal,Disponible,49.4,Bueno
1121,2025-01-18 00:00:00,Partido,Copa del Rey,Real Madrid,Local,1,2,empate,Lewandowski,En Forma,43.7,Regular
1122,2024-08-29 00:00:00,Rueda de Prensa,Amistoso,Girona,Visitante,2,3,empate,Araujo,Disponible,43.3,Regular
1123,2024-09-05 00:00:00,Partido,La liga,Sevilla,Local,2,1,victoria,Lamine Yamal,Lesionado,59.4,Bueno
1124,2024-08-13 00:00:00,Partido,Champions League,Bayern M.,Local,0,3,Victoria,Lamine Yamal,Disponible,66.3,Regular
1125,2025-01-07 00:00:00,Entrenamiento,Copa del Rey,Bayern M.,visitante,4,1,Victoria,Araujo,Disponible,63.7,Excelente
1126,2025-02-03 00:00:00,Partido,Champions League,Girona,visitante,3,0,empate,De Jong,Disponible,44.2,Regular
1127,2025-03-31 00:00:00,Partido,La Liga,Bayern M.,Local,1,3,Derrota,Gavi,Disponible,56.4,Malo
1128,2024-10-25 00:00:00,Partido,Champions League,Real Madrid,local,3,1,Derrota,Lewandowski,Lesionado,43.2,Regular
1129,2025-05-11 00:00:00,Partido,La Liga,Real Madrid,Local,3,2,Victoria,Gavi,En Forma,41.4,Bueno
1130,2024-10-05 00:00:00,Partido,La Liga,Girona,visitante,4,0,Derrota,Pedri,Disponible,59.7,Regular
1131,2025-01-17 00:00:00,Partido,Champions League,Sevilla,local,3,2,derrota,Gavi,Indisponible,56.1,Regular
1132,2024-09-14 00:00:00,Entrenamiento,Copa del Rey,PSG,local,3,0,victoria,Araujo,Sancionado,42.5,Excelente
1133,2024-10-01 00:00:00,Partido,La liga,Atlético Madrid,Local,2,3,victoria,Lewandowski,Disponible,41.0,Regular
1134,2024-12-12 00:00:00,Partido,Amistoso,PSG,visitante,4,3,Victoria,Gavi,Lesionado,69.7,Bueno
1135,2025-05-11 00:00:00,Partido,Amistoso,Bayern M.,visitante,0,0,Empate,Lewandowski,Disponible,40.9,Regular
1136,2024-08-28 00:00:00,Partido,La liga,Atlético Madrid,local,1,0,empate,Lewandowski,Disponible,53.3,Regular
1137,2024-11-16 00:00:00,Partido,champions league,Girona,Local,3,0,Victoria,Pedri,Lesionado,55.1,Excelente
1138,2024-09-13 00:00:00,Partido,champions league,Girona,Visitante,1,3,Derrota,Pedri,Disponible,43.5,Malo
1139,2025-05-13 00:00:00,Partido,La Liga,Sevilla,Visitante,0,1,empate,Araujo,Disponible,45.1,Regular
1140,2024-12-06 00:00:00,Partido,La Liga,Atlético Madrid,visitante,1,2,Empate,De Jong,Lesionado,50.6,Regular
1141,2025-03-19 00:00:00,Partido,Copa del Rey,Real Madrid,Visitante,0,2,Derrota,Lamine Yamal,Disponible,62.9,Malo
1142,2025-02-06 00:00:00,Partido,Supercopa España,Atlético Madrid,visitante,2,3,derrota,Lewandowski,Disponible,55.2,Regular
1143,2025-03-13 00:00:00,Entrenamiento,Champions League,Bayern M.,visitante,3,2,Derrota,De Jong,En Forma,59.1,Regular
1144,2025-05-10 00:00:00,Partido,La Liga,Real Madrid,visitante,0,0,derrota,Lamine Yamal,Disponible,69.6,Regular
1145,2024-11-29 00:00:00,Partido,Amistoso,Girona,Visitante,1,1,empate,Lamine Yamal,Disponible,63.0,Regular
1146,2024-11-24 00:00:00,Rueda de Prensa,Copa del Rey,Atlético Madrid,visitante,3,2,derrota,Araujo,Lesionado,53.0,Regular
1147,2025-03-21 00:00:00,Partido,Champions League,PSG,local,2,1,empate,Lamine Yamal,Disponible,53.4,Regular
1148,2025-04-16 00:00:00,Rueda de Prensa,Copa del Rey,Sevilla,Local,3,0,empate,Lamine Yamal,Disponible,58.6,Regular
1149,2025-02-14 00:00:00,Partido,Champions League,PSG,Local,0,2,empate,Lewandowski,Indisponible,60.0,Regular
1150,2024-12-15 00:00:00,Entrenamiento,Champions League,Sevilla,visitante,2,3,empate,Lewandowski,Lesionado,55.0,Regular
1151,2025-01-12 00:00:00,Partido,La liga,Bayern M.,Local,1,1,empate,Ter Stegen,Disponible,59.3,Regular
1152,2025-03-13 00:00:00,Entrenamiento,La Liga,PSG,Visitante,2,0,Derrota,De Jong,Lesionado,40.7,Regular
1153,2025-03-22 00:00:00,Partido,Copa del Rey,Atlético Madrid,Visitante,2,1,empate,Gavi,Sancionado,52.9,Regular
1154,2025-01-19 00:00:00,Partido,Copa del Rey,Atlético Madrid,Local,4,2,Derrota,Pedri,Disponible,48.4,Regular
1155,2024-12-30 00:00:00,Partido,La liga,PSG,Visitante,2,2,empate,Gavi,Disponible,43.9,Regular
1156,2025-01-07 00:00:00,Partido,Amistoso,Atlético Madrid,Local,2,3,derrota,De Jong,Disponible,43.0,Regular
1157,2024-11-04 00:00:00,Entrenamiento,Amistoso,Bayern M.,Local,3,0,empate,Pedri,Lesionado,58.1,Regular
1158,2025-03-21 00:00:00,Entrenamiento,champions league,Real Madrid,Local,1,0,Empate,Gavi,Disponible,55.7,Regular
1159,2025-01-27 00:00:00,Partido,La Liga,Bayern M.,visitante,3,3,empate,Ter Stegen,Disponible,47.6,Regular
1160,2024-11-21 00:00:00,Entrenamiento,La Liga,Sevilla,Local,3,3,empate,Pedri,En Forma,54.1,Regular
1161,2024-09-21 00:00:00,Partido,Supercopa España,Bayern M.,visitante,0,0,derrota,Lewandowski,Lesionado,54.8,Regular
1162,2025-04-25 00:00:00,Partido,La liga,Sevilla,Local,3,1,victoria,Gavi,Disponible,45.9,Bueno
1163,2025-05-22 00:00:00,Partido,Amistoso,Atlético Madrid,Local,4,1,derrota,Pedri,Disponible,59.6,Regular
1164,2024-11-21 00:00:00,Entrenamiento,Champions League,Real Madrid,Local,4,3,Empate,Ter Stegen,Disponible,63.4,Regular
1165,2024-11-09 00:00:00,Partido,Copa del Rey,Atlético Madrid,Visitante,0,1,victoria,Lamine Yamal,Disponible,63.7,Regular
1166,2024-11-21 00:00:00,Partido,La Liga,Girona,visitante,1,0,Victoria,Pedri,Lesionado,58.1,Bueno
1167,2024-10-20 00:00:00,Entrenamiento,Copa del Rey,Atlético Madrid,visitante,1,2,Victoria,Pedri,Sancionado,55.3,Regular
1168,2025-02-03 00:00:00,Partido,Copa del Rey,Sevilla,Local,3,2,Empate,Ter Stegen,Disponible,41.8,Regular
1169,2024-11-21 00:00:00,Partido,Supercopa España,Atlético Madrid,Local,3,1,derrota,Lamine Yamal,Disponible,48.6,Regular
1170,2024-08-02 00:00:00,Partido,Amistoso,Atlético Madrid,Visitante,3,3,Derrota,Gavi,Lesionado,42.8,Regular
1171,2024-12-08 00:00:00,Partido,La Liga,Real Madrid,Visitante,1,3,Empate,Araujo,Disponible,68.9,Regular
1172,2025-03-08 00:00:00,Partido,Copa del Rey,Atlético Madrid,Visitante,2,3,victoria,Gavi,Disponible,44.1,Regular
1173,2024-09-23 00:00:00,Partido,La Liga,Real Madrid,visitante,4,3,victoria,Lamine Yamal,Disponible,44.6,Bueno
1174,2025-03-12 00:00:00,Partido,Champions League,PSG,visitante,2,3,empate,De Jong,Disponible,66.7,Regular
1175,2025-03-13 00:00:00,Partido,Supercopa España,Girona,visitante,2,1,Victoria,Ter Stegen,En Forma,68.3,Bueno
1176,2024-12-04 00:00:00,Partido,Champions League,Real Madrid,Local,1,2,victoria,Gavi,Disponible,63.0,Regular
1177,2024-12-08 00:00:00,Entrenamiento,La Liga,Sevilla,visitante,2,2,Empate,Pedri,Disponible,40.2,Regular
1178,2024-09-22 00:00:00,Partido,champions league,PSG,local,0,1,victoria,Ter Stegen,Disponible,40.0,Regular
1179,2025-01-19 00:00:00,Partido,La Liga,Real Madrid,local,3,3,Empate,Lewandowski,Indisponible,51.3,Regular
1180,2025-03-06 00:00:00,Partido,Amistoso,Real Madrid,Visitante,0,1,Derrota,Lamine Yamal,Disponible,44.3,Regular
1181,2025-01-07 00:00:00,Partido,Copa del Rey,Girona,visitante,4,2,empate,Gavi,Disponible,40.6,Regular
1182,2025-02-14 00:00:00,Partido,Copa del Rey,Sevilla,local,3,0,Victoria,Ter Stegen,Disponible,53.9,Excelente
1183,2025-04-04 00:00:00,Entrenamiento,Champions League,Bayern M.,Visitante,2,1,victoria,Gavi,Disponible,68.3,Bueno
1184,2025-02-19 00:00:00,Partido,Supercopa España,Bayern M.,visitante,4,3,Empate,Ter Stegen,Disponible,49.7,Regular
1185,2025-01-31 00:00:00,Partido,champions league,Real Madrid,Local,3,2,derrota,Pedri,Disponible,59.8,Regular
1186,2024-12-01 00:00:00,Partido,La liga,Atlético Madrid,local,2,2,Victoria,Lewandowski,Disponible,59.6,Regular
1187,2025-04-12 00:00:00,Partido,Copa del Rey,Sevilla,Local,0,2,Derrota,Lewandowski,Disponible,47.5,Malo
1188,2025-05-21 00:00:00,Rueda de Prensa,Amistoso,PSG,visitante,3,2,Empate,De Jong,Lesionado,59.5,Regular
1189,2025-05-07 00:00:00,Partido,Champions League,Atlético Madrid,local,2,3,empate,Ter Stegen,Disponible,46.4,Regular
1190,2024-11-06 00:00:00,Partido,Champions League,Atlético Madrid,visitante,0,0,empate,Gavi,Disponible,43.7,Regular
1191,2025-02-14 00:00:00,Partido,La liga,Sevilla,Local,4,2,Derrota,Lewandowski,Disponible,61.0,Regular
1192,2025-03-28 00:00:00,Partido,Amistoso,Real Madrid,local,4,1,Derrota,Lamine Yamal,Indisponible,43.4,Regular
1193,2024-12-22 00:00:00,Entrenamiento,Supercopa España,Real Madrid,Local,4,0,empate,Lewandowski,Disponible,69.9,Regular
1194,2024-11-05 00:00:00,Partido,Amistoso,Real Madrid,visitante,4,2,victoria,Araujo,Sancionado,45.5,Bueno
1195,2025-02-17 00:00:00,Entrenamiento,Supercopa España,Real Madrid,visitante,1,0,victoria,Araujo,Lesionado,57.8,Bueno
1196,2024-12-02 00:00:00,Partido,Amistoso,Bayern M.,Local,3,1,Empate,Lewandowski,Disponible,52.3,Regular
1197,2025-02-03 00:00:00,Entrenamiento,Amistoso,Real Madrid,local,3,2,derrota,Ter Stegen,Indisponible,43.8,Regular
1198,2025-04-16 00:00:00,Partido,La Liga,Bayern M.,Local,1,1,Empate,De Jong,Disponible,40.8,Regular
1199,2024-12-26 00:00:00,Partido,Champions League,Bayern M.,visitante,2,3,derrota,Lewandowski,Disponible,58.7,Regular
1200,2025-04-09 00:00:00,Partido,Amistoso,Real Madrid,Local,2,2,Derrota,Pedri,Lesionado,64.2,Regular
1201,2024-12-25 00:00:00,Rueda de Prensa,La liga,Girona,visitante,4,2,Victoria,Gavi,Lesionado,65.3,Bueno
1202,2024-12-26 00:00:00,Entrenamiento,Amistoso,PSG,Local,0,2,Empate,De Jong,Disponible,54.5,Regular
1203,2025-02-15 00:00:00,Partido,Copa del Rey,Atlético Madrid,local,2,2,Empate,Pedri,Disponible,63.3,Regular
1204,2024-12-06 00:00:00,Rueda de Prensa,Champions League,Bayern M.,local,0,3,derrota,De Jong,Disponible,60.2,Malo
1205,2024-09-08 00:00:00,Partido,Copa del Rey,Sevilla,Local,3,2,Derrota,Pedri,Lesionado,61.7,Regular
1206,2024-12-07 00:00:00,Rueda de Prensa,Champions League,Sevilla,Local,0,0,Derrota,Gavi,Disponible,54.8,Regular
1207,2025-04-24 00:00:00,Partido,Copa del Rey,PSG,local,3,2,derrota,Gavi,Disponible,59.0,Regular
1208,2024-12-29 00:00:00,Entrenamiento,Amistoso,Sevilla,visitante,1,3,Derrota,Araujo,Disponible,64.2,Malo
1209,2025-05-25 00:00:00,Entrenamiento,Amistoso,Girona,local,1,2,empate,Ter Stegen,Disponible,51.9,Regular
1210,2024-11-07 00:00:00,Entrenamiento,La Liga,Sevilla,visitante,4,0,victoria,Pedri,Sancionado,64.2,Excelente
1211,2025-04-20 00:00:00,Partido,La liga,Atlético Madrid,Local,2,3,empate,Araujo,Disponible,57.8,Regular
1212,2025-04-09 00:00:00,Partido,Copa del Rey,Atlético Madrid,Local,4,3,Victoria,Pedri,Indisponible,45.0,Bueno
1213,2024-12-22 00:00:00,Entrenamiento,Supercopa España,Bayern M.,visitante,3,0,Empate,Araujo,Disponible,40.7,Regular
