ID_Estudiante,Universidad,Carrera,Edad,Sexo,Año_Cursado,Actividad_Extracurricular,Red_Social_Favorita,Motivacion_Principal,Reto_Mayor,Tecnologia_Clave,Promedio_Academico,Horas_Estudio_Semana,Horas_Ocio_Semana,Satisfaccion_Vida,Emprende,Fecha_Registro
21,LUZ,Medicina,22,Femenino,6,Voluntariado,instagram,Desarrollar habilidades,Falta de recursos,Python,16.65,27.3,7.4,Muy alta,Sí,2023-04-26
22,ULA,Biología,25,Femenino,5,Gaming,TIKTOK,Diversión,Falta de tiempo,Python,15.01,18.9,22.1,Baja,Sí,2022-05-24
23,UPEL,Psicología,21,Femenino,5,Danza,Whatsapp,Networking,Presión social,SQL,16.45,5.2,9.6,Muy baja,Sí,2022-01-23
24,UC,Economía,19,Masculino,4,Danza,twitter,Impactar en la sociedad,Desigualdad,JavaScript,10.24,23.3,10.9,Muy alta,No,2023-10-17
25,UNEARTE,Administración,19,Masculino,2,Viajes,discord,Reconocimiento,Falta de recursos,Excel,14.3,37.3,25.7,Muy alta,no,2023-10-23
26,ULA,Educación,17,Masculino,3,Club de Debate,FACEBOOK,Innovar,Desigualdad,Figma,12.79,33.4,15.3,Baja,No,2023-07-02
27,UPEL,Ingeniería,24,Femenino,2,Música,Discord,Diversión,Desigualdad,SPSS,11.29,33.9,20.8,Alta,No,2023-06-04
28,USB,Derecho,18,Femenino,1,Club de Debate,TikTok,Innovar,Falta de recursos,JavaScript,11.0,32.8,13.3,Media,Sí,2023-10-06
29,UNIMET,Administración,19,Femenino,2,Gaming,Instagram,Networking,Estrés académico,Power BI,16.03,16.3,10.3,Media,No,2023-03-30
30,UCAB,Ingeniería,24,Masculino,1,Investigación,Discord,Desarrollar habilidades,Falta de tiempo,HTML/CSS,15.24,31.8,19.5,Muy alta,Sí,2022-08-31
31,UNEARTE,Administración,24,Masculino,1,Investigación,Facebook,impactar,Falta de recursos,Canva,12.54,10.0,6.3,Baja,SI,2023-02-19
32,USB,Economía,27,Femenino,3,Investigación,Twitter/X,habilidades,Desmotivación,Figma,14.71,28.0,12.4,Muy alta,No,2022-01-31
33,LUZ,Ingeniería,20,femenino,6,Viajes,Instagram,networking,Falta de recursos,JavaScript,14.92,27.5,7.9,Media,NO,2023-10-04
34,USB,Arquitectura,20,Femenino,4,Investigación,WhatsApp,superacion,Presión social,JavaScript,11.95,5.9,21.5,Alta,no,2023-05-28
35,UNIMET,Comunicación Social,21,Masculino,2,Gaming,TikTok,reconocimiento,Falta de recursos,Canva,16.52,32.6,28.4,Media,No,2023-06-23
36,LUZ,Arquitectura,22,Masculino,1,Deporte,Facebook,diversion,Estrés académico,SQL,17.81,36.6,29.9,Alta,No,2023-05-20
37,UNEARTE,Biología,21,Masculino,2,Música,WhatsApp,Impactar en la sociedad,Presión social,Excel,17.91,14.4,14.6,Alta,Sí,2022-07-21
38,UNIMET,Comunicación Social,23,Masculino,6,Gaming,Twitter/X,Impactar en la sociedad,Desmotivación,Excel,16.02,33.4,9.1,Baja,No,2022-10-05
39,UCV,Arquitectura,18,Masculino,4,Música,Instagram,Superación personal,Ansiedad,JavaScript,15.12,7.9,14.4,Alta,SI,2022-07-17
40,UCAB,Comunicación Social,23,Femenino,6,Gaming,Twitter/X,Diversión,Ansiedad,R,10.61,26.0,25.7,Media,Sí,2023-07-26
41,UNEARTE,Comunicación Social,26,Masculino,4,Investigación,Instagram,Reconocimiento,Desigualdad,JavaScript,5.0,22.0,7.8,Baja,no,2022-02-23
42,UCV,Psicología,23,Femenino,5,Deporte,Discord,Networking,Falta de tiempo,JavaScript,25.0,24.1,28.7,Alta,No,2023-10-08
43,UPEL,Derecho,17,Masculino,4,Danza,TikTok,Reconocimiento,Desigualdad,Canva,30.0,37.4,11.6,Media,no,2023-09-03
44,UNEARTE,Derecho,23,Masculino,3,Club de Debate,Discord,Networking,Estrés académico,HTML/CSS,18.0,35.5,29.6,Alta,SI,2022-02-10
45,UPEL,Psicología,21,Masculino,6,Arte,Discord,Superación personal,Desinformación,Canva,15.0,32.5,25.5,Alta,No,2023-01-30
46,LUZ,Administración,19,Masculino,1,Deporte,Twitter/X,Impactar en la sociedad,Desmotivación,Figma,22.0,14.6,24.6,Alta,No,2022-11-09
47,UCV,Medicina,19,Masculino,5,Danza,TikTok,Diversión,Falta de tiempo,JavaScript,19.44,36.9,10.9,Baja,No,2023-05-29
48,UCAB,Administración,20,Masculino,3,Voluntariado,Instagram,Impactar en la sociedad,Desmotivación,Excel,17.66,8.4,2.2,Media,si,2023-12-26
49,UNIMET,Ingeniería,18,Masculino,2,Gaming,Instagram,Reconocimiento,Ansiedad,SPSS,10.05,34.9,12.7,Media,NO,2022-06-02
50,UNEXPO,Ingeniería,18,Femenino,6,Voluntariado,Facebook,Impactar en la sociedad,Desigualdad,Excel,10.01,16.5,10.5,Alta,No,2022-09-28
51,USB,Comunicación Social,17,Femenino,1,Danza,WhatsApp,Superación personal,Desmotivación,Python,13.78,6.9,3.0,muy baja,No,2022-01-08
52,ULA,Arquitectura,21,Femenino,4,Deporte,Facebook,Diversión,Ansiedad,SQL,11.43,28.4,16.2,BAJA,No,2022-03-03
53,UCAB,Arquitectura,20,Femenino,1,Gaming,Facebook,Reconocimiento,Estrés académico,Power BI,10.18,13.1,13.3,media,si,2022-07-08
54,UCV,Derecho,27,Masculino,2,Arte,Instagram,Diversión,Estrés académico,Figma,14.64,13.5,19.8,alta,No,2023-09-08
55,UNEXPO,Educación,26,Femenino,5,Investigación,Twitter/X,Networking,Desinformación,Figma,19.43,15.7,19.4,muy alta,si,2022-12-28
56,UCAB,Administración,18,masculino,5,Gaming,Discord,Impactar en la sociedad,Desmotivación,SQL,13.24,7.2,5.4,Media,No,2023-02-03
57,UCV,Biología,19,Femenino,6,Gaming,Discord,Diversión,Desinformación,SPSS,16.61,11.2,29.4,Media,Sí,2022-09-02
58,UC,Economía,23,Femenino,5,Deporte,Discord,Desarrollar habilidades,Presión social,Power BI,16.52,5.2,7.2,Media,No,2023-12-28
59,UC,Arquitectura,23,Masculino,6,Deporte,TikTok,Impactar en la sociedad,Falta de tiempo,HTML/CSS,12.51,20.6,14.5,Media,No,2022-03-11
60,UPEL,Economía,20,Masculino,6,Danza,Instagram,Networking,Desmotivación,JavaScript,16.5,7.9,15.7,Baja,Sí,2022-03-22
61,UCAB,Comunicación Social,21, Femenino,6,Emprendimiento,Twitter/X,Diversión,Estrés académico,Power BI,12.12,28.9,24.8,Muy baja,Sí,2023-10-01
62,UC,Economía,21,Masculino ,4,Gaming,TikTok,Reconocimiento,Desigualdad,SPSS,11.22,13.2,4.8,Baja,No,2022-03-06
63,UCV,Biología,22, Otro ,3,Club de Debate,WhatsApp,Networking,Ansiedad,R,17.01,38.0,14.0,Baja,Sí,2022-12-09
64,UPEL,Psicología,25, femenino ,6,Gaming,Twitter/X,Desarrollar habilidades,Falta de recursos,Python,11.13,35.5,19.6,Media,No,2022-06-09
65,UCV,Biología,18, MASCULINO,6,Danza,Facebook,Diversión,Desinformación,Power BI,19.97,15.1,8.0,Alta,No,2022-03-21
66,UPEL,Economía,21,Otro ,3,Música,Twitter/X,Innovar,Falta de recursos,Power BI,11.83,32.4,19.6,Baja,NO,2022-03-29
67,UCAB,Biología,19,Masculino,1,Voluntariado,Twitter/X,Innovar,Desmotivación,Python,15.94,33.1,27.9,Media,No,2023-04-11
68,UNEXPO,Medicina,20,Femenino,6,Investigación,Discord,Superación personal,Desigualdad,JavaScript,14.11,39.5,29.9,Media,NO,2022-07-15
69,UNIMET,Comunicación Social,26,Masculino,4,Emprendimiento,Twitter/X,Impactar en la sociedad,Desinformación,Power BI,11.26,25.9,2.9,Baja,No,2022-06-13
70,UNEARTE,Administración,22,Femenino,5,Arte,Facebook,Reconocimiento,Falta de recursos,Python,10.28,7.9,8.6,Muy baja,No,2022-10-05
71,UNEXPO,Psicología,24,Femenino,5,Arte,Facebook,Superación personal,Falta de tiempo,Python,16.23,27.6,10.7,Media,si,2022-04-06
72,LUZ,Arquitectura,17,Femenino,2,Arte,Instagram,Diversión,Desigualdad,Python,18.07,26.9,13.2,Alta,NO,2022-02-08
73,UCV,Ingeniería,26,Masculino,2,Deporte,Twitter/X,Innovar,Ansiedad,Canva,18.42,27.3,8.8,Media,Si,2023-07-30
74,LUZ,Administración,24,Masculino,5,Arte,Discord,Innovar,Falta de tiempo,SPSS,14.83,15.8,7.7,Baja,no,2022-11-13
75,UNEXPO,Ingeniería,27,Masculino,5,Investigación,Twitter/X,Innovar,Desigualdad,Canva,17.77,35.1,28.7,Muy alta,emprende,2022-04-20
76,UPEL,Comunicación Social,23,Masculino,4,Voluntariado,WhatsApp,Diversión,Presión social,R,16.73,38.6,27.7,Media,No,2022-09-12
77,UNEARTE,Psicología,17,Femenino,3,Arte,WhatsApp,Innovar,Desinformación,HTML/CSS,17.24,12.6,3.3,Media,No,2023-11-09
78,UNEARTE,Derecho,18,Femenino,2,Gaming,Discord,Networking,Estrés académico,Canva,14.93,8.1,11.5,Muy alta,Sí,2022-03-29
79,ULA,Arquitectura,19,Femenino,3,Gaming,Instagram,Diversión,Ansiedad,Canva,16.33,11.8,13.3,Alta,No,2022-01-28
80,UNEARTE,Medicina,17,FEMENINO,4,Deporte,Instagram,Reconocimiento,Desmotivación,SPSS,18.06,33.7,8.7,Media,No,2022-02-11
81,UNIMET,Derecho,25,Femenino,5,Investigación,Facebook,Superación personal,Falta de tiempo,HTML/CSS,13.98,28.7,19.6,Media,Sí,2022-11-05
82,UNEARTE,Comunicación Social,24,Masculino,6,Voluntariado,Facebook,Reconocimiento,Falta de tiempo,SQL,18.06,27.3,19.9,Media,No,2022-06-06
83,UNEXPO,Administración,18,Masculino,3,Emprendimiento,TikTok,Desarrollar habilidades,Falta de recursos,Python,15.92,19.1,25.8,Baja,No,2022-12-13
84,ULA,Medicina,25,Femenino,5,Danza,Discord,Innovar,Desinformación,Figma,11.66,25.2,22.7,Alta,si,2023-02-03
85,UNEXPO,Biología,23,Masculino,5,Voluntariado,Twitter/X,Desarrollar habilidades,Desmotivación,HTML/CSS,10.25,15.8,17.2,Baja,no,2023-04-03
86,UNEXPO,Economía,25,Masculino,1,Danza,Discord,Impactar en la sociedad,Estrés académico,R,13.63,21.7,20.3,Media,No,2022-06-28
87,USB,Medicina,22,Masculino,3,Música,TikTok,Impactar en la sociedad,Desigualdad,JavaScript,15.47,32.8,9.7,Muy alta,No,2022-05-08
88,ULA,Comunicación Social,22,Otro,6,Danza,Facebook,Desarrollar habilidades,Estrés académico,R,18.4,39.3,18.6,Muy alta,No,2022-01-06
89,UNEXPO,Educación,27,Femenino,3,Club de Debate,Discord,Diversión,Desinformación,Python,11.27,37.6,15.7,Media,No,2022-09-22
90,USB,Economía,20,Femenino,5,Gaming,Discord,Reconocimiento,Desinformación,HTML/CSS,18.0,37.7,5.7,Alta,Sí,2022-11-12
91,USB,Ingeniería,26,Masculino,6,Investigación,Facebook,Desarrollar habilidades,Presión social,R,18.63,19.1,8.8,Media,No,2022-01-10
92,ULA,Arquitectura,26,Otro,4,Viajes,TikTok,Impactar en la sociedad,Presión social,R,11.51,21.4,10.2,Muy alta,No,2022-08-26
93,LUZ,Ingeniería,18,Femenino,1,Deporte,Facebook,Desarrollar habilidades,Estrés académico,SQL,18.52,29.7,27.9,Media,Sí,2023-12-08
94,UPEL,Medicina,23,Masculino,5,Club de Debate,Instagram,Diversión,Desigualdad,SQL,19.91,37.3,8.5,Muy baja,No,2022-01-25
95,UNIMET,Ingeniería,21,Masculino,2,Danza,Twitter/X,Desarrollar habilidades,Estrés académico,HTML/CSS,17.27,10.0,10.1,Baja,No,2022-01-02
96,UPEL,Comunicación Social,27,Masculino,2,Arte,Facebook,Reconocimiento,Desinformación,Python,17.85,15.6,12.3,Media,No,2022-06-30
97,UNEARTE,Biología,22,Femenino,1,Investigación,TikTok,Superación personal,Desinformación,Canva,19.94,9.9,20.6,Media,Sí,2022-01-01
98,UNIMET,Administración,18,Masculino,4,Club de Debate,WhatsApp,Diversión,Falta de recursos,Excel,16.05,26.4,5.3,Alta,No,2023-01-05
99,UNEARTE,Arquitectura,21,Otro,5,Deporte,Instagram,Impactar en la sociedad,Presión social,Power BI,13.08,15.7,28.7,Alta,No,2023-08-12
100,UNEXPO,Ingeniería,26,Femenino,3,Gaming,WhatsApp,Reconocimiento,Desmotivación,Figma,18.38,16.4,26.2,Media,No,2022-03-13
101,UCV,Ingeniería,20,Femenino,1,Investigación,Facebook,Desarrollar habilidades,Desmotivación,Power BI,16.14,7.5,18.2,Media,No,2022-01-24
102,ULA,Medicina,25,masculino,4,Deporte,Instagram,Desarrollar habilidades,Desmotivación,SPSS,15.81,17.2,20.9,Baja,No,2023-08-08
103,UNIMET,Administración,22,Femenino,3,Música,Twitter/X,Superación personal,Falta de recursos,SQL,12.54,35.2,2.5,Muy alta,no,2023-01-25
104,UNIMET,Derecho,18,Masculino,2,Música,Facebook,Impactar en la sociedad,Ansiedad,HTML/CSS,17.56,13.2,11.5,Muy alta,No,2022-02-21
105,UNEXPO,Ingeniería,17,Masculino,2,Deporte,Twitter/X,Impactar en la sociedad,Desmotivación,Power BI,10.82,29.3,24.3,Muy alta,NO,2022-08-14
106,LUZ,Comunicación Social,21,Femenino,3,Club de Debate,Discord,Networking,Desinformación,Python,19.24,27.0,4.2,Muy alta,No,2023-05-03
107,USB,Educación,25,Masculino,1,Investigación,WhatsApp,Impactar en la sociedad,Falta de recursos,Figma,13.26,35.2,9.9,Baja,No,2022-07-14
108,UNEXPO,Arquitectura,22,Femenino,2,Club de Debate,Instagram,Superación personal,Estrés académico,Power BI,11.28,9.6,18.4,Muy baja,No,2022-11-29
109,UC,Ingeniería,26,Masculino,5,Emprendimiento,Twitter/X,Innovar,Presión social,Figma,14.42,39.2,9.2,Alta,Sí,2023-08-31
110,USB,Comunicación Social,23,Femenino,6,Danza,TikTok,Networking,Presión social,JavaScript,10.42,25.4,28.2,Muy alta,Sí,2023-01-16
111,ULA,Comunicación Social,21,Masculino,3,Emprendimiento,Twitter/X,Networking,Desigualdad,Python,16.85,39.8,5.7,Baja,No,2023-07-14
112,USB,Arquitectura,26,Femenino,3,Música,TikTok,Desarrollar habilidades,Estrés académico,Excel,19.03,36.9,24.3,Muy baja,No,2023-10-19
113,LUZ,Derecho,22,Femenino,2,Gaming,Facebook,Desarrollar habilidades,Desigualdad,R,18.37,12.8,16.2,Alta,SI,2023-04-03
114,USB,Comunicación Social,21,masculino,1,Voluntariado,Instagram,Impactar en la sociedad,Falta de recursos,Figma,11.27,7.0,23.0,Baja,No,2022-11-30
115,ULA,Educación,27,Femenino,5,Danza,Twitter/X,Networking,Falta de tiempo,Python,11.26,13.9,10.7,Media,Sí,2023-03-20
116,LUZ,Comunicación Social,25,Masculino,1,Música,Twitter/X,Desarrollar habilidades,Desmotivación,Figma,18.13,23.5,16.4,Alta,No,2022-12-29
117,UPEL,Comunicación Social,22,Femenino,4,Club de Debate,Instagram,Superación personal,Ansiedad,Figma,19.24,11.0,26.0,Media,No,2023-07-03
118,UNIMET,Comunicación Social,27,Masculino,4,Club de Debate,Twitter/X,Desarrollar habilidades,Estrés académico,Canva,14.61,10.9,15.1,Baja,si,2022-07-04
119,UNIMET,Biología,24,Femenino,6,Club de Debate,TikTok,Diversión,Estrés académico,Canva,14.99,21.2,12.1,Alta,si,2023-01-04
120,UNEARTE,Biología,18,masculino,2,Gaming,Twitter/X,Diversión,Estrés académico,Python,13.18,6.2,17.0,Alta,no,2022-07-28
121,UPEL,Derecho,25,Masculino,2,Emprendimiento,WhatsApp,Desarrollar habilidades,Desigualdad,Canva,18.94,9.3,22.1,Muy alta,No,2023-05-06
122,UPEL,Ingeniería,21,Femenino,2,Voluntariado,Facebook,Networking,Falta de recursos,SPSS,16.45,19.6,14.4,Media,No,2023-04-01
123,USB,Comunicación Social,23,Femenino,6,Club de Debate,Discord,Innovar,Estrés académico,Excel,12.88,7.2,28.3,Baja,No,2023-10-04
124,UNIMET,Administración,26,Femenino,4,Viajes,TikTok,Innovar,Falta de tiempo,HTML/CSS,12.99,18.9,10.3,Alta,NO,2023-06-03
125,ULA,Ingeniería,17,Masculino,1,Danza,WhatsApp,Networking,Estrés académico,Python,18.91,21.6,15.3,Alta,Sí,2023-11-28
126,UCAB,Derecho,26,Femenino,6,Investigación,Facebook,Reconocimiento,Presión social,Python,10.14,20.8,23.2,Media,Sí,2023-05-02
127,UCAB,Psicología,21,Masculino,6,Viajes,Instagram,Innovar,Desmotivación,SPSS,13.23,35.4,21.3,Alta,Sí,2022-10-23
128,LUZ,Ingeniería,26,Femenino,1,Voluntariado,TikTok,Diversión,Ansiedad,SQL,15.54,23.6,26.2,Media,No,2023-06-19
129,UNIMET,Ingeniería,18,Femenino,2,Gaming,Discord,Superación personal,Desmotivación,SQL,11.48,21.4,29.9,Media,No,2022-09-08
130,UNIMET,Economía,22,Masculino,5,Voluntariado,Facebook,Networking,Presión social,Canva,10.92,19.4,14.0,Baja,No,2023-09-19
131,UCAB,Medicina,27,Masculino,1,Investigación,Discord,Impactar en la sociedad,Presión social,HTML/CSS,18.15,33.6,5.1,Media,NO,2023-05-21
132,UNIMET,Economía,17,Femenino,4,Danza,Instagram,Diversión,Ansiedad,Canva,18.94,36.3,2.9,Media,SI,2023-02-26
133,USB,Educación,19,Femenino,3,Investigación,Instagram,Superación personal,Falta de tiempo,JavaScript,18.24,34.9,22.4,Alta,No,2022-11-26
134,UC,Biología,21,Femenino,3,Deporte,TikTok,Superación personal,Falta de recursos,JavaScript,18.99,28.6,26.5,Alta,No,2023-12-24
135,UCV,Biología,20,Masculino,6,Danza,Twitter/X,Networking,Presión social,R,15.53,9.8,8.2,Muy alta,si,2022-11-13
136,UPEL,Medicina,19,Masculino,3,Voluntariado,Instagram,Superación personal,Falta de recursos,JavaScript,18.12,14.7,6.4,Baja,SI,2022-05-31
137,UNEARTE,Arquitectura,26,Masculino,5,Club de Debate,Facebook,Networking,Presión social,SQL,13.84,6.6,3.7,Baja,No,2022-09-13
138,LUZ,Arquitectura,21,Masculino,2,Voluntariado,Twitter/X,Innovar,Desinformación,Excel,16.66,37.6,25.0,Muy baja,No,2023-04-06
139,UC,Derecho,27,Masculino,4,Voluntariado,WhatsApp,Desarrollar habilidades,Ansiedad,JavaScript,19.89,28.1,10.7,Baja,No,2022-12-07
140,UCAB,Medicina,24,Masculino,5,Danza,Discord,Diversión,Presión social,Canva,12.26,31.1,13.2,Alta,si,2022-08-11
141,UPEL,Ingeniería,27,Masculino,4,Deporte,Twitter/X,Reconocimiento,Desinformación,Figma,13.9,15.9,16.1,Alta,No,2023-11-17
142,UNIMET,Arquitectura,20,Femenino,4,Voluntariado,Discord,Desarrollar habilidades,Desmotivación,Python,14.8,34.6,25.5,Alta,No,2023-05-09
143,UNEARTE,Comunicación Social,17,Femenino,2,Viajes,Twitter/X,Diversión,Desigualdad,Excel,11.38,14.1,20.2,Media,Sí,2022-11-03
144,UNIMET,Administración,27,Femenino,6,Música,WhatsApp,Networking,Desinformación,Excel,10.81,5.1,19.2,Media,SI,2022-05-10
145,ULA,Ingeniería,23,Femenino,3,Arte,Instagram,Diversión,Estrés académico,Canva,18.3,18.2,6.9,Media,No,2022-04-28
146,ULA,Educación,24,Masculino,2,Arte,WhatsApp,Innovar,Presión social,Python,19.77,25.0,16.4,Baja,Sí,2023-10-13
147,UNEARTE,Comunicación Social,19,femenino,5,Voluntariado,Instagram,Networking,Desinformación,SQL,14.05,21.8,22.0,Alta,No,2023-10-07
148,UNEARTE,Comunicación Social,22,Femenino,6,Viajes,Instagram,Desarrollar habilidades,Falta de recursos,Excel,10.88,35.2,29.3,Muy alta,No,2022-01-29
149,UCAB,Medicina,18,Femenino,5,Club de Debate,Discord,Impactar en la sociedad,Desigualdad,R,10.66,8.7,7.6,Media,No,2023-12-30
150,UNEARTE,Derecho,23,Masculino,6,Gaming,Facebook,Impactar en la sociedad,Falta de tiempo,Canva,18.91,24.4,2.3,Alta,No,2023-01-30
151,USB,Educación,24,femenino,5,Gaming,WhatsApp,Diversión,Presión social,Excel,14.64,23.0,4.1,Alta,No,2023-08-27
152,UNIMET,Arquitectura,22,Femenino,2,Danza,Twitter/X,Impactar en la sociedad,Estrés académico,HTML/CSS,13.2,14.8,12.5,Baja,SI,2022-07-29
153,UC,Medicina,22,Masculino,6,Arte,WhatsApp,Networking,Falta de tiempo,Python,14.76,33.8,25.0,Alta,Sí,2023-06-20
154,UNEXPO,Arquitectura,21,Femenino,6,Voluntariado,Discord,Superación personal,Desinformación,JavaScript,13.18,31.3,2.2,Media,Sí,2023-08-05
155,UNEARTE,Medicina,24,Femenino,4,Gaming,Instagram,Networking,Falta de tiempo,Excel,14.89,30.7,14.8,Muy baja,Sí,2022-05-16
156,LUZ,Medicina,17,FEMENINO,4,Voluntariado,Discord,Superación personal,Falta de tiempo,Canva,18.6,35.7,11.2,Alta,No,2022-11-01
157,ULA,Medicina,26,masculino,1,Danza,TikTok,Desarrollar habilidades,Desigualdad,JavaScript,15.92,30.3,3.5,Muy alta,No,2023-04-11
158,USB,Derecho,20,Femenino,5,Arte,TikTok,Reconocimiento,Desmotivación,R,16.95,13.1,14.6,Media,no,2022-09-12
159,UPEL,Medicina,20,femenino,4,Investigación,Twitter/X,Superación personal,Falta de tiempo,JavaScript,13.65,29.7,9.1,Media,No,2023-08-09
160,UNEXPO,Psicología,19,Masculino,1,Música,Discord,Impactar en la sociedad,Falta de tiempo,HTML/CSS,17.39,15.8,11.9,Muy alta,No,2022-12-20
161,UC,Administración,19,Masculino,4,Música,Twitter/X,Networking,Presión social,SQL,16.67,13.5,21.8,Alta,NO,2022-03-26
162,UNEXPO,Arquitectura,20,Masculino,5,Gaming,Twitter/X,Desarrollar habilidades,Desmotivación,Excel,11.2,7.6,16.6,Alta,No,2023-08-20
163,UNEARTE,Ingeniería,27,Masculino,6,Música,TikTok,Impactar en la sociedad,Desigualdad,Power BI,15.73,31.0,5.5,Media,si,2022-09-23
164,UCAB,Economía,17,Masculino,3,Investigación,Twitter/X,Desarrollar habilidades,Estrés académico,Power BI,12.57,29.9,28.9,Muy alta,No,2022-08-10
165,ULA,Educación,27,Masculino,5,Voluntariado,TikTok,Reconocimiento,Desinformación,JavaScript,18.04,13.2,19.8,Baja,No,2022-10-22
166,ULA,Biología,27,Femenino,2,Danza,Instagram,Innovar,Desigualdad,SPSS,14.26,31.2,23.4,Alta,No,2022-04-26
167,UPEL,Derecho,18,Femenino,4,Investigación,Discord,Networking,Desigualdad,Python,19.95,37.1,4.2,Muy baja,No,2022-12-31
168,UCAB,Ingeniería,25,Femenino,4,Danza,Twitter/X,Diversión,Ansiedad,Power BI,10.93,8.8,3.3,Alta,Sí,2023-05-20
169,UNIMET,Comunicación Social,26,Masculino,6,Danza,TikTok,Networking,Desigualdad,SPSS,17.8,13.1,2.5,Media,No,2023-03-06
170,UCV,Psicología,18,Femenino,2,Arte,WhatsApp,Reconocimiento,Desmotivación,Power BI,16.74,31.3,7.3,Media,No,2023-05-24
171,USB,Biología,21,Masculino,6,Voluntariado,Twitter/X,Networking,Ansiedad,SPSS,17.67,14.6,13.6,Media,si,2023-09-12
172,ULA,Economía,25,masculino,2,Viajes,Facebook,Diversión,Desinformación,Python,13.08,26.9,28.2,Baja,No,2022-01-30
173,LUZ,Ingeniería,25,Femenino,3,Música,Instagram,Superación personal,Falta de tiempo,Figma,14.92,7.8,14.8,Alta,SI,2022-10-14
174,ULA,Biología,24,Masculino,4,Viajes,Instagram,Desarrollar habilidades,Presión social,Power BI,17.97,20.8,10.1,Muy alta,No,2023-02-26
175,UNEXPO,Ingeniería,17,Femenino,4,Arte,WhatsApp,Diversión,Presión social,HTML/CSS,12.33,30.9,17.7,Muy alta,No,2022-08-14
176,ULA,Psicología,17,Masculino,3,Danza,TikTok,Impactar en la sociedad,Desinformación,Excel,12.26,29.0,5.1,Baja,No,2023-03-02
177,ULA,Economía,25,Femenino,1,Gaming,Twitter/X,Reconocimiento,Desinformación,SPSS,15.51,33.5,19.1,Alta,No,2023-04-05
178,UCV,Comunicación Social,27,Masculino,6,Música,TikTok,Superación personal,Desmotivación,Excel,15.24,35.7,17.9,Alta,NO,2022-05-12
179,UCV,Medicina,24,Masculino,3,Música,Instagram,Impactar en la sociedad,Falta de recursos,Canva,12.82,32.1,24.2,Media,No,2022-12-28
