ID_Prestamo,PYME_ID,Sector,Años_Operando,Ingresos_Anuales (USD),Monto_Prestamo (USD),Plazo (meses),Tasa_Interes (%),Score_Credito,Garantia,Resultado,Fecha_Solicitud
10116,5725,comercio,4,24690.01,76066.95,36,8.2,846,Sí,Aprobado,2023-09-04
10117,5720,Manufactura,16,176701.43,82118.13,12,14.9,338,Sí,rechazado,2023-05-02
10118,5749,Agricultura,4,268501.59,67365.47,6,12.1,724,Sí,Aprobado,2023-09-30
10119,5338,Manufactura,5,62175.92,17169.1,36,18.2,560,No,Aprobado,2023-10-21
10120,5879,Manufactura,5,188300.93,37135.41,6,8.2,725,Sí,Aprobado,2023-07-26
10121,5053,Manufactura,8,35937.49,93167.95,24,15.2,386,Sí,Aprobado,2023-04-20
10122,5792,Manufactura,10,57717.68,26338.48,12,14.1,764,Sí,Aprobado,2023-10-05
10123,5922,servICIOS,17,210523.17,40355.87,24,9.4,375,si,Aprobado,2023-02-25
10124,5217,comercio,9,83703.56,46047.3,12,7.0,770,Sí,Aprobado,2023-02-26
10125,5764,Tecnologia,19,292419.61,46743.47,6,14.8,713,Sí,Aprobado,2023-10-18
10126,5188,Manufactura,14,350943.19,63229.26,24,16.1,756,Sí,Aprobado,2023-04-24
10127,5380,Agricultura,8,404281.62,94592.2,24,9.7,584,si,Aprobado,2023-11-04
10128,5493,Manufactura,9,116072.12,27865.81,6,14.7,538,No,Aprobado,2023-12-07
10129,5041,Agricultura,11,100391.64,16542.63,24,10.9,671,Sí,Aprobado,2023-07-17
10130,5001,servICIOS,1,70192.56,23759.7,36,15.7,794,Sí,Aprobado,2023-11-17
10131,5015,Agricultura,14,325486.52,89257.87,12,8.0,344,Sí,Aprobado,2023-06-28
10132,5813,Tecnologia,5,359108.35,66352.03,12,18.4,700,Sí,Aprobado,2023-08-07
10133,5065,comercio,14,35161.35,32161.14,12,9.3,546,si,Aprobado,2023-10-04
10134,5857,Agricultura,4,469381.88,82514.96,36,10.5,749,No,Aprobado,2023-01-16
10135,5839,Agricultura,1,44946.22,86830.15,12,5.9,784,Sí,Aprobado,2023-03-02
10136,5521,comercio,19,279822.24,85418.86,6,6.7,317,No,rechazado,2023-02-23
10137,5003,Tecnologia,8,360349.05,92298.02,24,12.7,588,Sí,Aprobado,2023-06-17
10138,5129,Manufactura,15,438065.18,28962.9,36,9.0,713,No,rechazado,2023-01-26
10139,5648,Agricultura,15,362761.73,76728.98,12,17.5,534,No,Aprobado,2023-12-02
10140,5472,comercio,9,404829.48,48751.25,6,5.2,715,Sí,Aprobado,2023-03-06
10141,5063,servICIOS,9,182936.09,84989.86,24,10.7,798,No,Aprobado,2023-04-10
10142,5139,comercio,10,411116.05,74206.61,24,10.1,414,Sí,Aprobado,2023-03-15
10143,5499,servICIOS,9,58455.13,78762.51,36,5.3,533,Sí,Aprobado,2023-07-11
10144,5593,Tecnologia,3,449511.99,67335.37,36,6.9,839,Sí,Aprobado,2023-06-20
10145,5392,Manufactura,11,282844.34,21855.73,36,11.2,310,Sí,Aprobado,2023-09-30
10146,5675,comercio,6,412302.93,56777.56,6,12.4,505,No,Aprobado,2023-07-06
10147,5419,Agricultura,2,237112.78,98543.63,6,11.1,546,si,rechazado,2023-01-23
10148,5289,Tecnologia,7,328917.29,94051.87,36,13.0,426,No,Pendiente,2023-06-30
10149,5379,comercio,18,272673.28,9101.5,12,13.9,446,No,Aprobado,2023-11-23
10150,5773,Agricultura,2,371162.97,20657.41,24,5.1,417,No,Aprobado,2023-04-18
10151,5490,comercio,17,59182.39,17514.23,24,12.0,681,Sí,Aprobado,2023-12-01
10152,5231,servICIOS,11,48969.0,73968.09,6,19.5,711,Sí,Aprobado,2023-06-11
10153,5041,comercio,12,138609.55,82689.61,24,12.8,662,Sí,Aprobado,2023-10-29
10154,5028,comercio,19,96581.45,25283.58,12,15.2,808,No,Pendiente,2023-07-25
10155,5135,comercio,7,438456.11,53056.01,24,9.7,436,si,Aprobado,2023-03-19
10156,5201,Tecnologia,6,125222.71,84866.79,6,16.6,474,Sí,Aprobado,2023-01-16
10157,5840,comercio,1,488415.32,74616.15,6,16.6,588,No,Aprobado,2023-11-23
10158,5780,Agricultura,17,181709.98,56512.53,12,12.8,780,No,rechazado,2023-04-06
10159,5930,servICIOS,11,107416.6,61083.03,12,19.6,318,No,Aprobado,2023-05-27
10160,5033,servICIOS,18,399055.28,53294.25,24,6.9,494,Sí,Aprobado,2023-01-02
10161,5048,comercio,17,336179.73,33267.1,24,5.3,629,Sí,Pendiente,2023-01-10
10162,5503,Tecnologia,7,259133.94,58677.09,6,16.6,474,Sí,Aprobado,2023-05-05
10163,5407,Tecnologia,17,286574.5,70444.1,12,17.1,748,Sí,rechazado,2023-03-22
10164,5574,Agricultura,9,365216.85,87965.68,12,6.8,653,Sí,Aprobado,2023-05-20
10165,5728,comercio,17,129658.28,65447.68,12,9.0,798,No,rechazado,2023-11-22
10166,5805,servICIOS,8,498240.28,77306.55,24,5.3,440,Sí,Aprobado,2023-05-30
10167,5099,Tecnologia,17,487900.72,20206.81,12,9.4,392,No,Aprobado,2023-10-15
10168,5684,comercio,7,332156.33,48847.96,6,16.6,538,No,rechazado,2023-12-27
10169,5872,Tecnologia,1,115780.38,5886.5,6,12.8,504,No,Aprobado,2023-12-06
10170,5726,Tecnologia,13,346509.56,28434.49,24,10.2,732,Sí,Aprobado,2023-05-09
10171,5987,servICIOS,19,54655.24,74013.86,36,10.6,544,No,Aprobado,2023-08-27
10172,5547,Manufactura,19,34713.2,99221.95,24,5.0,616,si,Aprobado,2023-02-27
10173,5961,Agricultura,17,143687.79,14421.92,36,9.5,594,Sí,Aprobado,2023-07-17
10174,5739,Agricultura,13,242059.02,43141.96,12,14.7,581,Sí,Aprobado,2023-07-30
10175,5613,servICIOS,16,436770.8,81006.74,24,19.6,316,No,Aprobado,2023-02-14
10176,5943,Tecnologia,8,369041.15,24383.39,6,17.7,370,Sí,Aprobado,2023-04-07
10177,5462,comercio,19,376499.13,57733.07,12,5.4,568,Sí,Aprobado,2023-10-06
10178,5643,Tecnologia,18,224236.8,74641.77,6,18.5,624,Sí,Aprobado,2023-01-23
10179,5769,servICIOS,1,186048.8,63518.62,12,16.7,604,Sí,rechazado,2023-12-01
10180,5005,Agricultura,14,198098.61,22862.35,24,16.7,750,No,Pendiente,2023-02-13
10181,5218,Tecnologia,19,494071.79,38761.53,36,11.9,306,Sí,rechazado,2023-01-27
10182,5503,Agricultura,15,39252.41,79460.22,12,11.0,613,No,Aprobado,2023-10-09
10183,5767,comercio,18,436175.12,57651.52,36,9.5,402,No,Aprobado,2023-04-07
10184,5398,Agricultura,2,297764.2,5496.81,12,6.0,492,No,Aprobado,2023-02-05
10185,5871,Agricultura,17,230535.4,77294.12,6,8.4,828,No,Aprobado,2023-04-19
10186,5795,Manufactura,18,368123.68,8354.58,6,8.7,470,No,Aprobado,2023-02-24
10187,5393,Manufactura,6,253601.09,75844.71,12,12.3,836,Sí,Aprobado,2023-07-11
10188,5207,Manufactura,19,439243.15,24235.65,36,16.2,550,No,Aprobado,2023-08-07
10189,5015,Agricultura,4,452336.89,96016.98,24,12.1,686,No,Pendiente,2023-07-04
10190,5858,servICIOS,1,222426.04,39954.37,24,5.9,506,No,Aprobado,2023-03-10
10191,5554,Agricultura,8,152877.34,36058.5,6,19.4,840,No,Aprobado,2023-11-13
10192,5892,servICIOS,7,304328.16,19144.36,24,19.1,715,Sí,Aprobado,2023-05-10
10193,5461,servICIOS,3,457934.41,34032.4,6,16.8,679,Sí,Aprobado,2023-02-24
10194,5691,Manufactura,10,121117.85,88281.82,24,19.9,443,No,rechazado,2023-04-07
10195,5575,Tecnologia,10,319023.96,99651.76,12,13.2,324,Sí,Aprobado,2023-12-02
10196,5864,comercio,19,323148.91,39989.41,6,19.4,372,No,Aprobado,2023-03-28
10197,5743,Manufactura,14,371894.25,47618.01,6,6.1,392,Sí,Aprobado,2023-10-21
10198,5241,Manufactura,2,83152.49,73596.74,12,10.5,804,Sí,Aprobado,2023-04-29
10199,5564,Tecnologia,1,363595.98,89188.6,6,8.4,635,Sí,Aprobado,2023-07-27
10200,5096,comercio,18,456335.61,61339.21,24,7.9,724,Sí,rechazado,2023-11-30
10201,5900,Agricultura,7,106247.89,42194.94,24,7.1,798,No,rechazado,2023-06-03
10202,5002,Agricultura,8,134020.8,44199.07,6,14.3,663,Sí,rechazado,2023-02-04
10203,5485,Manufactura,1,486269.65,71083.72,24,16.7,498,NO,Aprobado,2023-03-20
10204,5407,comercio,3,106868.94,5305.74,36,13.7,712,No,rechazado,2023-03-08
10205,5231,Manufactura,8,430104.84,63860.99,6,7.2,638,Sí,Aprobado,2023-12-09
10206,5749,servICIOS,15,256293.37,38771.84,12,17.2,728,No,Aprobado,2023-02-03
10207,5655,Manufactura,5,138670.92,80448.75,36,14.5,438,No,Aprobado,2023-04-07
10208,5171,Manufactura,3,437959.95,13834.11,6,10.8,841,No,Aprobado,2023-06-18
10209,5541,Agricultura,19,233746.52,60879.22,12,15.1,356,Sí,Aprobado,2023-06-18
10210,5036,Agricultura,1,267112.33,50692.42,24,8.9,531,No,rechazado,2023-05-31
10211,5525,Agricultura,15,192432.02,66020.92,12,10.2,734,No,Aprobado,2023-03-12
10212,5160,servICIOS,8,304616.41,11161.09,36,18.8,683,Sí,Aprobado,2023-01-03
10213,5839,Agricultura,2,98491.46,60098.46,24,9.4,493,Sí,Aprobado,2023-11-10
10214,5699,comercio,3,207719.14,58341.04,6,12.0,833,No,rechazado,2023-02-01
10215,5243,Tecnologia,14,485317.91,58262.71,24,18.4,817,Sí,Pendiente,2023-10-14
10216,5086,comercio,14,143904.05,62331.33,6,15.6,484,No,rechazado,2023-03-23
10217,5003,comercio,11,335233.6,69264.45,6,5.9,591,Sí,Aprobado,2023-02-12
10218,5578,Agricultura,16,176091.23,81473.95,12,7.2,634,si,Aprobado,2023-04-15
10219,5682,Tecnologia,4,391267.1,30632.97,12,5.1,415,No,Aprobado,2023-01-01
10220,5557,Tecnologia,5,82819.36,83379.69,12,14.5,348,Sí,Aprobado,2023-03-02
10221,5574,Tecnologia,14,485514.1,52334.29,36,11.7,381,Sí,Aprobado,2023-09-27
10222,5953,servICIOS,16,237818.98,12320.54,36,7.0,632,No,Aprobado,2023-06-29
10223,5002,Agricultura,18,133304.22,10562.34,12,19.4,634,No,Aprobado,2023-08-12
10224,5796,Tecnologia,7,55278.44,36752.64,36,12.9,831,No,Pendiente,2023-01-06
10225,5028,servICIOS,10,101483.79,79565.21,24,8.6,520,Sí,Aprobado,2023-04-13
10226,5620,Manufactura,7,269491.5,72229.69,24,12.5,622,Sí,Aprobado,2023-01-10
10227,5556,Manufactura,1,181761.52,79918.42,36,15.2,302,Sí,Aprobado,2023-03-12
10228,5340,servICIOS,19,417864.02,54140.56,36,6.1,505,No,Pendiente,2023-03-31
10229,5798,servICIOS,16,226826.01,46818.9,24,9.1,339,Sí,rechazado,2023-08-14
10230,5958,Agricultura,19,139382.85,19007.99,6,17.1,358,Sí,rechazado,2023-06-07
10231,5331,Agricultura,4,316229.59,36178.31,24,11.9,806,No,Pendiente,2023-08-16
10232,5640,Manufactura,18,359253.06,46231.84,24,13.2,421,si,Aprobado,2023-05-06
10233,5506,Tecnologia,2,100180.12,13417.04,36,11.5,778,Sí,Aprobado,2023-07-28
10234,5348,Manufactura,1,100457.22,25958.14,24,5.7,395,Sí,Aprobado,2023-04-07
10235,5473,Tecnologia,15,37602.28,61831.4,36,7.5,713,No,Aprobado,2023-03-15
10236,5231,Tecnologia,5,373472.97,74888.0,36,11.7,534,No,Aprobado,2023-04-25
10237,5190,Agricultura,11,338626.17,99843.01,12,8.1,361,Sí,Aprobado,2023-07-10
10238,5225,comercio,10,247822.82,93645.77,24,5.7,555,si,Pendiente,2023-06-19
10239,5385,comercio,2,425201.82,66043.69,6,17.7,647,No,Pendiente,2023-11-03
10240,5377,servICIOS,3,406721.67,45018.57,12,19.7,423,Sí,rechazado,2023-07-23
10241,5283,Agricultura,12,300970.09,65436.85,36,16.9,781,Sí,rechazado,2023-02-25
10242,5958,Tecnologia,5,436770.21,79636.9,36,17.8,616,No,Aprobado,2023-07-27
10243,5633,comercio,5,118803.78,16241.94,6,8.6,803,No,Aprobado,2023-02-10
10244,5628,Tecnologia,6,73721.42,43940.96,36,19.4,347,Sí,Aprobado,2023-02-01
10245,5973,comercio,9,149479.81,84781.22,24,8.0,708,No,Aprobado,2023-01-15
10246,5745,comercio,2,47401.69,41464.13,12,19.3,435,No,rechazado,2023-03-03
10247,5259,comercio,12,274961.37,59327.87,36,19.9,500,Sí,Aprobado,2023-06-04
10248,5359,Agricultura,3,469570.73,60838.09,36,15.7,549,No,Pendiente,2023-10-11
10249,5710,Manufactura,12,38884.9,22525.24,6,19.7,613,si,Aprobado,2023-07-28
10250,5456,Tecnologia,17,78612.76,39412.37,24,13.5,667,Sí,Aprobado,2023-11-16
10251,5411,Agricultura,10,237055.53,36778.57,36,8.9,728,Sí,Aprobado,2023-07-06
10252,5003,Agricultura,14,468260.01,7488.69,6,11.6,779,Sí,Aprobado,2023-05-10
10253,5318,Agricultura,17,171754.93,7298.22,36,13.9,613,No,Aprobado,2023-05-07
10254,5677,Agricultura,18,263472.71,84011.22,6,6.1,799,NO,Aprobado,2023-10-19
10255,5225,Agricultura,19,39954.97,30941.73,6,14.3,654,Sí,rechazado,2023-04-24
10256,5819,servICIOS,17,91204.74,54217.48,24,19.7,784,No,Aprobado,2023-07-18
10257,5003,Tecnologia,14,493582.46,33378.93,36,7.9,510,No,Aprobado,2023-01-13
10258,5684,Agricultura,9,483256.97,94364.53,24,16.9,343,No,Aprobado,2023-09-28
10259,5664,Tecnologia,8,22371.19,29633.19,6,18.6,840,Sí,Aprobado,2023-03-30
10260,5975,servICIOS,2,476869.66,45817.4,12,19.2,391,Sí,Pendiente,2023-08-03
10261,5827,servICIOS,13,326777.57,87909.37,36,19.4,564,Sí,Aprobado,2023-10-05
10262,5374,Tecnologia,7,436600.78,84983.69,12,12.8,519,No,Pendiente,2023-07-22
10263,5672,comercio,9,238275.13,22679.63,36,19.7,741,Sí,Aprobado,2023-03-15
10264,5608,Manufactura,11,267486.09,81251.11,24,16.4,700,si,Pendiente,2023-01-25
10265,5472,comercio,14,254646.36,48527.75,24,7.4,699,Sí,Aprobado,2023-04-11
10266,5233,comercio,4,340094.84,50882.04,24,12.2,789,Sí,Aprobado,2023-06-25
10267,5692,comercio,13,87032.6,17680.6,24,15.8,784,No,Aprobado,2023-04-27
10268,5113,Agricultura,2,34387.32,12657.14,24,8.7,769,No,Aprobado,2023-06-15
10269,5830,servICIOS,5,167806.37,74154.23,12,14.6,744,Sí,Aprobado,2023-02-10
10270,5497,comercio,11,358246.77,52163.81,24,15.0,568,Sí,Aprobado,2023-12-10
10271,5442,servICIOS,6,116889.66,46500.82,6,7.4,566,NO,Aprobado,2023-04-30
10272,5564,Tecnologia,18,343247.57,74303.28,6,13.5,353,Sí,Aprobado,2023-04-07
10273,5268,Manufactura,10,485557.78,77723.73,12,16.6,827,Sí,Aprobado,2023-05-25
10274,5510,Tecnologia,4,65072.34,20096.28,36,12.5,819,No,rechazado,2023-08-04
10275,5807,Tecnologia,9,342849.02,62971.39,6,5.2,358,Sí,Aprobado,2023-08-17
10276,5386,Agricultura,6,233000.11,17858.64,36,5.1,339,Sí,Aprobado,2023-11-09
10277,5387,Manufactura,2,436708.28,76380.63,12,10.4,536,Sí,Aprobado,2023-05-10
10278,5113,Tecnologia,17,105031.9,67410.74,36,18.9,685,Sí,rechazado,2023-12-18
10279,5613,Tecnologia,5,352460.46,95878.39,36,8.4,599,Sí,Aprobado,2023-11-14
10280,5625,Manufactura,6,422295.34,11551.01,36,14.5,694,Sí,Aprobado,2023-05-17
10281,5952,Manufactura,12,473414.83,10420.2,36,8.3,506,Sí,Pendiente,2023-11-20
10282,5081,Tecnologia,10,347959.05,31807.77,12,9.8,635,Sí,rechazado,2023-12-03
10283,5699,Manufactura,6,258643.89,29862.04,6,17.7,813,No,Aprobado,2023-09-30
10284,5113,Tecnologia,8,316566.68,28462.99,24,15.9,477,Sí,Aprobado,2023-04-27
10285,5002,Tecnologia,2,437074.39,91094.19,36,6.4,695,Sí,rechazado,2023-11-02
10286,5642,Agricultura,12,293892.68,28706.89,6,11.4,670,No,Aprobado,2023-04-04
10287,5220,comercio,13,34585.79,30835.22,6,5.4,617,No,Aprobado,2023-06-17
10288,5566,Tecnologia,7,466855.37,77142.83,12,12.2,668,Sí,Aprobado,2023-07-22
