ID_Lector,Autor_Filosofico,Epoca_Filosofica,Nacionalidad_Autor,Nivel_Comprension,Dificultad_Percibida,Edad,Libros_Leidos_Autor,Citas_Memorizadas,Horas_Estudio,Puntuacion_Evaluacion,Anos_Experiencia
3029, Confucio ,  Antigua,China ,alto,Muy Difícil,40,2,8,2.7,83.4,5.4
3030,hume,Moderna,Francesa,medio,DIFÍCIL,64,4,4,1.5,91.2,1.5
3031,Heidegger,CONTEMPORÁNEA,ALEMANA,MUY ALTO,Muy Fácil,42,3,3,4.3,76.5,0.4
3032, Sartre ,Contemporánea ,Francesa ,Muy Alto ,Fácil,57,5,8,6.0,83.2,1.8
3033,Hegel,  Moderna,  Alemana,muy bajo,dificil,43,8,6,13.8,101.1,1.3
3034,mencio,  Antigua, China ,Muy Alto ,Fácil,31,4,8,10.5,54.6,7.4
3035,Santo Tomás,Medieval , Alemana , Muy Bajo ,MUY FÁCIL,30,1,3,9.7,51.0,1.5
3036, Hegel,MODERNA,  Alemana,BAJO,difícil ,62,3,3,4.3,48.3,6.2
3037,Confucio,Antigua,china,BAJO,Media,59,0,5,18.4,63.2,8.9
3038,rousseau,moderna,Francesa,Medio,MEDIA,18,0,11,6.4,93.8,2.3
3039, Confucio ,  Antigua,China ,MUY BAJO,Muy Difícil ,52,2,7,38.7,77.5,9.6
3040,Hume,MODERNA,  Francesa,bajo,Difícil,22,4,4,10.1,76.8,1.9
3041, Sartre ,contemporánea,  Francesa,bajo ,MUY FÁCIL,36,1,3,1.3,115.0,13.3
3042,aristoteles,antigua,griega,bajo,MEDIA,24,5,8,11.3,55.5,0.4
3043,Marco Aurelio,antigua,Romana,muy alto,muy dificil,54,3,8,3.9,35.0,4.6
3044,Epicteto,Antigua,  Griega,MUY BAJO,Difícil,33,0,3,11.6,89.1,
3045,aristóteles ,Antigua,GRIEGA,bajo,MEDIA,19,4,3,0.7,96.5,2.0
3046,MARCO AURELIO,antigua,  Romana,Muy Bajo,difícil ,40,1,6,1.9,82.0,4.0
3047,SÓCRATES, Antigua ,Griega ,alto,muy dificil,29,6,2,19.4,50.2,4.9
3048,epicteto,Antigua ,Griega,ALTO,muy facil,24,3,7,2.6,94.7,0.0
3049,ROUSSEAU,Moderna,Francesa ,Muy Alto ,Muy Difícil ,41,1,5,18.1,63.4,0.7
3050,santo tomas, Medieval ,Alemana,alto ,MUY FÁCIL,17,1,5,3.3,46.1,5.0
3051,SANTO TOMÁS, Medieval ,ALEMANA,medio,fácil ,35,0,6,10.3,50.6,4.4
3052, Séneca,  Antigua,Romana ,muy bajo,media,43,3,1,11.8,60.3,13.5
3053,epicteto,Antigua , Griega ,bajo ,fácil ,62,2,10,7.2,68.9,5.7
3054,BUDA,antigua,  Oriental,medio,MUY FÁCIL,22,4,2,3.6,65.1,12.0
3055, Rousseau ,  Moderna,FRANCESA,medio,dificil,59,5,5,2.4,,4.8
3056,ROUSSEAU,  Moderna,Francesa,ALTO, Muy Fácil ,-5,1,4,0.3,89.8,1.4
3057,Heráclito, Antigua ,Griega ,MUY BAJO, Muy Fácil ,62,0,5,3.6,65.3,0.4
3058,Sartre, Contemporánea ,  Francesa,bajo ,DIFÍCIL,50,5,4,10.6,55.2,6.1
3059,heráclito , Antigua ,GRIEGA,Medio,facil,29,5,5,27.9,88.0,4.1
3060,Santo Tomás,medieval,Alemana,MUY ALTO,media,32,1,6,20.5,,0.2
3061,Mencio,antigua, China ,BAJO,Muy Fácil,51,0,1,14.5,38.7,1.8
3062,rousseau,  Moderna, Francesa ,alto,muy facil,55,2,3,,90.9,12.6
3063, Hegel,  Moderna,Alemana, Muy Bajo ,MEDIA,19,2,2,10.9,102.0,2.8
3064,NIETZSCHE,Contemporánea, Alemana ,muy alto,muy facil,17,2,5,3.0,59.7,2.3
3065,confucio,Antigua,CHINA,bajo ,media,21,6,4,23.8,67.2,2.4
3066,MARX , Contemporánea ,  Alemana,Bajo, Media,57,6,7,11.1,47.4,0.9
3067,Marco Aurelio,antigua, Romana ,Medio, Media,19,5,7,8.2,68.1,1.8
3068,platon,antigua,  Griega,Bajo,dificil,44,5,2,1.2,59.4,1.8
3069,SAN AGUSTÍN,  Medieval,romana,MUY BAJO,Fácil,33,0,6,5.9,66.2,0.2
3070,EPICTETO,Antigua , Griega ,muy bajo,fácil ,41,2,7,6.2,75.4,5.8
3071,seneca, Antigua ,romana,bajo,Muy Difícil,59,5,2,20.0,48.2,-2.5
3072, Buda ,Antigua,  Oriental,medio,dificil,49,5,7,7.9,61.5,6.9
3073,LAO TSE,Antigua ,China ,Muy Alto ,MUY DIFÍCIL,25,1,5,4.8,35.5,7.6
3074,San Agustín,medieval,  Romana,MUY ALTO,facil,51,4,7,37.6,61.6,1.0
3075,nietzsche ,Contemporánea,ALEMANA,medio,facil,29,3,6,1.2,66.3,4.3
3076,guillermo de ockham, Medieval ,Francesa ,ALTO,facil,46,2,5,5.5,72.1,2.6
3077,Buda,antigua,Oriental , Muy Bajo ,MUY FÁCIL,63,2,6,0.4,72.3,8.5
3078,descartes, Moderna , Francesa ,ALTO,Muy Difícil ,30,2,5,13.5,84.3,1.0
3079,EPICTETO,  Antigua, Griega ,medio,Difícil,23,6,4,25.0,40.3,4.5
3080,Marco Aurelio,Antigua , Romana ,Alto,Muy Difícil ,29,4,7,3.3,41.2,3.7
3081,Hegel,Moderna ,  Alemana,Medio,fácil ,38,1,1,19.5,77.5,1.4
3082,epicteto,Antigua ,Griega ,Muy Alto,difícil ,55,1,8,3.5,31.3,0.6
3083,HUME,MODERNA,FRANCESA,muy alto,MUY DIFÍCIL,36,1,4,24.2,71.3,4.2
3084,LAO TSE, Antigua ,CHINA,alto ,Fácil,31,5,5,14.0,46.8,5.4
3085,GUILLERMO DE OCKHAM,Medieval ,francesa,ALTO,fácil ,60,3,3,16.3,96.3,1.5
3086,marco aurelio,  Antigua,Romana,MUY BAJO,DIFÍCIL,33,-3,7,0.2,72.5,
3087,MENCIO,Antigua ,CHINA,Muy Alto ,Media,62,3,2,32.9,64.1,2.0
3088,kant, Moderna , Alemana ,muy bajo,DIFÍCIL,39,6,5,13.0,90.1,5.0
3089,SÓCRATES,Antigua ,griega,alto,Media,41,2,10,3.6,48.9,0.9
3090,Aristoteles, Antigua , Griega ,MEDIO,Muy Fácil,40,5,7,17.7,52.3,8.8
3091, Sócrates,antigua,Griega ,Muy Alto ,DIFÍCIL,60,2,7,3.3,,1.4
3092,ROUSSEAU,  Moderna,Francesa ,Medio,media,56,1,10,20.6,52.4,1.8
3093,Heidegger, Contemporánea ,  Alemana,Muy Bajo,muy dificil,44,7,1,1.2,69.1,0.2
3094,Guillermo de Ockham, Medieval , Francesa ,MUY BAJO,facil,30,8,5,12.2,76.9,0.5
3095,aristóteles ,ANTIGUA,GRIEGA,bajo ,MUY FÁCIL,60,0,3,7.8,85.3,
3096,SANTO TOMÁS,medieval,Alemana,MUY ALTO,DIFÍCIL,16,3,8,1.0,35.2,1.2
3097,Mencio,  Antigua, China ,MUY ALTO, Media,40,6,7,2.8,64.9,7.2
3098,Hegel,MODERNA,ALEMANA,Muy Bajo,MUY DIFÍCIL,22,1,3,0.1,48.1,0.1
3099,MENCIO,Antigua ,china,Medio,media,24,9,1,6.3,64.3,1.9
3100,confucio, Antigua , China ,MUY ALTO,dificil,39,3,5,3.6,110.0,1.6
3101,PLATÓN,  Antigua,griega,muy bajo,Media,16,3,3,9.1,73.3,0.1
3102,sartre,contemporánea,FRANCESA,bajo,DIFÍCIL,59,6,6,3.5,84.2,0.5
3103, Nietzsche,CONTEMPORÁNEA,ALEMANA,alto ,media,23,2,3,3.6,103.3,
3104, Hegel, Moderna ,ALEMANA,Muy Alto,FÁCIL,39,0,4,13.6,88.3,2.7
3105,epicteto ,Antigua,GRIEGA,ALTO,Difícil,26,4,5,0.5,59.9,2.1
3106,Rousseau,  Moderna,Francesa ,Medio,difícil ,32,0,8,23.3,,3.0
3107,Sócrates,ANTIGUA,  Griega,bajo, Muy Fácil ,23,3,7,19.1,67.5,3.6
3108,Guillermo de Ockham,medieval,FRANCESA,MUY ALTO,fácil ,50,5,5,11.0,57.8,0.0
3109,descartes,MODERNA,Francesa ,alto,Difícil,50,5,4,9.0,40.6,2.5
3110,Buda,ANTIGUA,Oriental,alto ,MUY DIFÍCIL,48,4,6,22.3,,13.2
3111,LAO TSE,ANTIGUA,China ,MUY BAJO, Media,20,1,8,2.0,72.8,2.9
3112,epicteto,Antigua ,griega,alto ,MUY DIFÍCIL,57,1,4,0.8,99.8,4.5
3113,  Kant,Moderna,Alemana, Medio,media,54,1,3,2.7,61.5,1.5
3114,seneca,antigua,romana,alto,media,56,2,2,15.8,73.0,5.9
3115,Lao Tse,antigua,  China,MEDIO,Muy Fácil,43,3,3,0.4,56.0,5.9
3116,LAO TSE,antigua, China ,MEDIO,Difícil,22,1,9,8.7,83.7,2.9
3117,EPICTETO, Antigua , Griega , Muy Bajo ,Media,24,1,5,53.9,65.8,14.9
3118,Rousseau,  Moderna,Francesa ,bajo,Muy Fácil,23,1,4,19.4,46.9,0.5
3119,ROUSSEAU,moderna,francesa,MEDIO,MUY DIFÍCIL,27,2,7,7.4,67.8,0.1
3120,heraclito,  Antigua,  Griega,alto,muy facil,49,3,8,0.7,75.0,5.9
3121,marx,contemporánea, Alemana ,alto ,Muy Difícil ,48,2,4,17.8,72.6,6.6
3122,Hegel,Moderna,  Alemana,medio,difícil ,63,2,4,9.1,86.8,0.5
3123,MARX , Contemporánea ,  Alemana,Alto,media,38,3,8,1.2,41.9,1.2
3124, Hegel, Moderna , Alemana ,muy alto,fácil ,39,2,5,1.0,52.8,0.1
3125, Platón ,ANTIGUA, Griega ,muy bajo,Muy Difícil ,52,4,5,24.0,79.5,1.4
3126,san agustin,Medieval ,Romana,ALTO, Media,50,4,6,11.1,54.9,5.9
3127,platon, Antigua ,Griega,MUY BAJO,fácil ,59,1,7,,72.3,2.9
3128,buda, Antigua ,ORIENTAL,MEDIO,FÁCIL,55,2,2,21.1,24.4,1.7
3129,lao tse,Antigua,china,Medio,Muy Difícil ,37,1,1,8.5,116.9,1.9
3130, Confucio ,antigua, China ,MEDIO,Media,42,2,7,7.3,63.1,
3131,San Agustín, Medieval ,  Romana, Muy Bajo ,Fácil,50,3,5,5.6,89.5,1.4
3132,aristoteles, Antigua ,griega,Alto, Muy Fácil ,16,2,4,3.8,61.9,4.2
3133,LAO TSE,Antigua ,CHINA,Muy Alto,muy facil,50,4,4,5.7,75.5,14.6
3134, Buda ,  Antigua,  Oriental,Muy Bajo,media,52,3,3,14.9,94.9,
3135,aristoteles,Antigua,Griega ,muy alto,DIFÍCIL,62,4,8,9.2,89.0,0.1
3136,KANT ,Moderna ,ALEMANA,ALTO,muy facil,29,1,7,22.3,64.3,9.2
3137,aristoteles, Antigua , Griega ,alto,MUY DIFÍCIL,18,1,1,5.9,65.6,6.1
3138,Marx, Contemporánea ,Alemana ,muy bajo, Media,16,1,2,9.3,86.1,6.1
3139,  Marx,Contemporánea,Alemana ,BAJO,Fácil,20,2,4,10.0,110.0,2.4
3140,Sócrates,ANTIGUA,GRIEGA,Muy Alto,MUY FÁCIL,41,2,6,9.0,71.5,2.0
3141, Descartes ,MODERNA, Francesa , Medio,media,29,5,4,12.1,103.2,1.4
3142,hegel, Moderna ,  Alemana,Muy Alto ,MEDIA,54,5,6,2.7,63.7,0.3
3143,epicteto, Antigua ,Griega ,alto ,dificil,42,2,8,7.2,85.1,1.0
3144,lao tse ,Antigua ,CHINA,ALTO,facil,24,2,7,1.1,87.8,1.1
3145,guillermo de ockham,  Medieval,FRANCESA,muy bajo,FÁCIL,30,3,5,4.9,60.6,2.6
3146,SENECA,  Antigua,  Romana,BAJO,Fácil,30,2,2,,54.6,5.5
3147,hegel,Moderna , Alemana ,Medio,muy dificil,41,1,1,10.6,88.6,2.6
3148,sartre,Contemporánea ,FRANCESA,muy alto, Media,57,2,7,30.1,58.4,0.2
3149,Séneca,antigua,ROMANA,Bajo,Muy Difícil,28,5,4,9.2,51.9,12.7
3150,san agustin, Medieval ,ROMANA,medio,Muy Difícil,47,5,1,13.6,55.7,11.4
3151,mencio ,antigua,china,ALTO,Media,54,3,6,7.1,58.4,6.2
3152,ROUSSEAU,MODERNA,Francesa,alto ,facil,64,4,5,,,19.0
3153,DESCARTES, Moderna ,  Francesa, Muy Bajo ,Media,47,1,8,0.7,77.3,3.1
3154,Kant, Moderna ,alemana,Muy Bajo,difícil ,19,3,5,2.9,80.9,13.2
3155,SÓCRATES,Antigua,GRIEGA,Muy Alto ,media,45,4,4,4.5,75.6,0.3
3156,MARCO AURELIO, Antigua ,Romana,bajo ,MEDIA,52,3,10,6.4,57.3,1.8
3157,San Agustin ,MEDIEVAL,  Romana,bajo, Muy Fácil ,38,3,7,0.5,80.5,1.0
3158,HUME,  Moderna,Francesa ,medio,DIFÍCIL,54,3,4,1.5,89.3,0.9
3159,Marco Aurelio,  Antigua,  Romana,muy alto,MUY FÁCIL,60,3,8,3.2,78.5,0.6
3160,Marco Aurelio, Antigua ,romana,Muy Bajo,Fácil,30,5,5,35.6,76.1,3.9
3161,ARISTÓTELES,  Antigua,griega,muy alto,fácil ,58,3,5,4.0,54.2,6.1
3162,rousseau,moderna,francesa,alto,Difícil,44,5,5,6.6,71.8,3.5
3163,MARCO AURELIO, Antigua ,  Romana,MUY BAJO,muy dificil,51,2,2,2.2,53.2,0.6
3164,Lao Tse,antigua, China ,bajo , Media,28,2,3,9.4,,6.7
3165,Confucio,Antigua ,CHINA, Muy Bajo ,MUY FÁCIL,47,5,4,3.3,38.5,4.0
3166,Aristoteles,Antigua ,  Griega,ALTO,Difícil,22,3,9,2.3,38.6,2.0
3167, Marco Aurelio ,Antigua,Romana , Muy Bajo ,Muy Fácil,37,3,0,,64.6,4.5
3168,NIETZSCHE, Contemporánea ,Alemana ,Bajo,Media,43,3,5,0.1,58.1,1.2
3169,SENECA,Antigua ,Romana ,alto ,muy dificil,17,6,5,0.1,69.9,1.7
3170,heráclito ,Antigua ,GRIEGA,medio, Muy Fácil ,57,6,5,2.5,65.6,10.0
3171,Buda,  Antigua,Oriental,Muy Alto,DIFÍCIL,60,3,5,0.4,68.5,1.4
3172,hume ,Moderna,francesa,Medio, Media,21,5,4,1.1,79.0,2.5
3173,descartes ,Moderna,FRANCESA,alto,Media,43,2,9,4.1,59.7,8.8
3174,heidegger,  Contemporánea,alemana,alto ,MUY DIFÍCIL,43,4,6,16.2,64.1,4.9
3175,HEIDEGGER, Contemporánea ,ALEMANA,alto ,Difícil,59,3,2,8.5,94.2,0.3
3176,Séneca,antigua,romana,bajo , Media,59,2,6,7.2,68.1,0.6
3177, Sócrates, Antigua ,GRIEGA,ALTO, Muy Fácil ,35,4,6,3.5,64.8,0.0
3178,Guillermo de Ockham,medieval,Francesa,muy alto,fácil ,45,1,6,26.8,69.5,4.0
3179,GUILLERMO DE OCKHAM,Medieval,  Francesa,Bajo,difícil ,26,3,5,5.1,65.1,2.4
3180,descartes ,MODERNA,Francesa ,Alto,Muy Fácil,43,1,2,0.9,55.2,0.6
3181,sartre, Contemporánea ,francesa,BAJO,Muy Difícil ,40,3,5,9.6,50.0,
3182,NIETZSCHE,CONTEMPORÁNEA,ALEMANA,Muy Alto ,muy dificil,54,3,3,1.2,54.3,3.0
3183,mencio ,antigua,China,Muy Alto,MEDIA,48,1,3,4.2,83.7,1.1
3184,Sócrates, Antigua ,Griega,Bajo,Muy Difícil ,16,2,3,7.1,56.7,2.8
3185,GUILLERMO DE OCKHAM,MEDIEVAL,Francesa ,MUY BAJO,fácil ,42,4,6,20.7,,4.6
3186,SAN AGUSTÍN,MEDIEVAL,ROMANA,Medio,MUY FÁCIL,28,2,6,6.8,80.6,0.3
3187,confucio , Antigua ,  China,alto,DIFÍCIL,56,5,4,12.1,63.0,1.3
3188,MARCO AURELIO,ANTIGUA,romana,MEDIO,media,18,0,5,49.4,79.4,6.6
3189,Séneca, Antigua ,  Romana,Muy Alto,dificil,54,3,5,1.4,40.3,2.5
3190,DESCARTES,MODERNA, Francesa ,Medio, Muy Fácil ,21,2,7,3.2,65.6,3.2
3191,GUILLERMO DE OCKHAM,Medieval,Francesa,Muy Bajo,Fácil,23,0,5,5.0,69.4,2.3
3192,EPICTETO, Antigua ,Griega,medio,muy facil,42,2,3,,68.4,
3193, Marco Aurelio ,Antigua,Romana ,medio,muy facil,24,2,4,5.3,,0.7
3194,BUDA,  Antigua,ORIENTAL,MUY ALTO,media,52,4,7,23.8,89.7,2.4
3195, Descartes ,Moderna , Francesa ,MUY ALTO,difícil ,48,2,5,12.5,52.6,0.9
3196,CONFUCIO,Antigua, China ,alto , Muy Fácil ,57,1,7,9.4,74.0,0.2
3197, Hegel,MODERNA, Alemana ,Bajo, Muy Fácil ,59,1,8,3.7,68.1,7.4
3198,aristoteles,antigua,GRIEGA,ALTO,fácil ,39,0,7,,86.1,15.9
3199,mencio,  Antigua,china,muy alto,muy dificil,30,2,5,31.0,107.4,6.3
3200, Confucio ,Antigua,China,alto ,Fácil,47,4,8,17.2,44.8,7.7
