ID_Jugador,Videojuego,Desarrolladora,Plataforma,Genero,Anio_Lanzamiento,Nivel_Satisfaccion,Dificultad_Juego,Frecuencia_Juego,Tipo_Jugador,Plataforma_Preferida,Edad_Jugador,Juegos_Comprados_Anio,Horas_Juego_Semanal,Logros_Desbloqueados,Amigos_Plataforma,Partidas_Jugadas_Total,Precio_Juego_USD,Gasto_Mensual_USD,Puntuacion_Metacritic,Tiempo_Juego_Total_Horas,Tasa_Victoria_Porcentaje,FPS_Promedio
16070,OVERWATCH,  Blizzard,multiplataforma,Shooter,2016, Neutral,Media, mensual ,PROFESIONAL,NINTENDO,25,10,15,44,87,496,34.62,115.21,98.1,100.0,70.2,68.0
16071,Call of Duty,activision,XBOX,Shooter ,2003,insatisfecho,muy facil,DIARIA,CASUAL, Xbox ,34,14,13,48,86,493,3.57,138.6,76.0,10.0,52.3,87.0
16072,mortal kombat,NETHERREALM,MULTIPLATAFORMA,Lucha,1992,Satisfecho,Fácil,ocasional, Casual , Nintendo ,51,10,14,53,117,485,1.76,175.78,85.8,10.9,48.0,53.0
16073,STARDEW VALLEY, ConcernedApe ,MULTIPLATAFORMA, Indie ,2016, satisfecho ,dificil, Diaria , profesional ,Multiplataforma,32,12,19,50,103,485,43.97,62.91,86.4,,56.3,49.0
16074,Fortnite,Epic Games,MULTIPLATAFORMA,  Shooter,2017,Muy Insatisfecho,Muy Difícil, semanal ,Casual,nintendo,27,16,15,37,76,502,69.33,18.3,96.9,87.0,49.2,52.0
16075,Civilization,  Firaxis,PC ,ESTRATEGIA,1991,insatisfecho, Muy Fácil ,ocasional, intermedio ,PLAYSTATION,29,14,13,39,103,505,60.93,23.58,62.5,55.5,80.9,30.0
16076,skyrim,BETHESDA,  Multiplataforma,RPG ,2011,MUY INSATISFECHO,MUY FÁCIL,Ocasional,Intermedio,Nintendo,35,13,16,52,96,511,31.39,28.04,150.0,79.4,35.0,63.0
16077,STREET FIGHTER,capcom,MULTIPLATAFORMA,LUCHA,1987,satisfecho, difícil ,DIARIA,hardcore,XBOX,37,11,18,53,97,497,4.21,72.07,74.6,73.6,32.7,61.0
16078,FINAL FANTASY,SQUARE ENIX,Multiplataforma ,RPG,1987,satisfecho,DIFÍCIL,Ocasional,profesional,multiplataforma,36,11,15,53,93,475,46.6,2.67,106.6,43.1,22.3,64.0
16079,overwatch,BLIZZARD,Multiplataforma,Shooter,2016,satisfecho, media ,mensual,Casual,Nintendo,52,11,15,48,105,515,11.08,80.86,62.5,113.2,39.2,68.0
16080,HALO,BUNGIE,Xbox ,shooter,2001,MUY SATISFECHO,Muy Difícil,MENSUAL, hardcore ,Xbox,40,8,9,52,105,511,96.8,36.25,92.6,142.1,28.2,44.0
16081,fifa,EA Sports ,multiplataforma,  Deportes,1993, Muy Insatisfecho ,MUY DIFÍCIL, semanal , intermedio ,nintendo,26,9,15,44,114,511,72.87,27.99,80.3,1.5,54.4,65.0
16082,OVERWATCH,Blizzard,Multiplataforma,Shooter ,2016,Insatisfecho, Muy Fácil ,MENSUAL,profesional, Multiplataforma ,12,11,20,60,101,515,49.43,169.29,79.5,23.2,50.4,69.0
16083, NBA 2K ,2k sports,multiplataforma,Deportes ,1999, Muy Insatisfecho ,DIFÍCIL,semanal,intermedio,multiplataforma,36,11,16,46,108,524,118.92,49.3,75.8,124.9,28.4,50.0
16084,STREET FIGHTER,capcom,  Multiplataforma,Lucha,1987, satisfecho ,Muy Difícil,DIARIA,CASUAL,PLAYSTATION,18,12,11,54,89,529,1.28,7.99,95.2,48.9,61.8,68.0
16085,Skyrim,bethesda, Multiplataforma ,  RPG,2011, insatisfecho , fácil , Diaria , hardcore ,Multiplataforma,20,7,16,49,95,511,53.3,140.24,79.0,108.6,80.3,62.0
16086,Halo, Bungie , Xbox ,Accion/Aventura  ,2001,MUY INSATISFECHO, Muy Difícil ,SEMANAL,CASUAL,xbox,35,12,16,65,93,511,16.03,3.91,52.1,42.6,57.2,47.0
16087, Super Smash Bros ,  Nintendo,Switch ,Lucha ,1999,Satisfecho,muy facil, mensual ,Casual,MULTIPLATAFORMA,12,16,16,47,107,506,94.61,103.79,93.3,49.6,-0.9,66.0
16088,DARK SOULS,fromsoftware,multiplataforma,RPG,2011, satisfecho ,Muy Difícil, mensual ,Profesional,MULTIPLATAFORMA,19,10,16,52,105,534,12.41,118.94,90.5,17.3,89.7,54.0
16089,Uncharted 4,  Naughty Dog,  PlayStation,accion/aventura,2016,INSATISFECHO,media,Semanal, profesional ,Xbox,35,11,10,51,88,488,51.62,34.78,83.8,29.9,64.9,74.0
16090,God of War,santa monica studio, PlayStation , Accion/Aventura ,2018,Neutral,DIFÍCIL, semanal ,casual,xbox,22,12,13,54,97,494,84.03,139.34,58.1,93.0,89.1,55.0
16091,TOMB RAIDER,Crystal Dynamics,  Multiplataforma,Accion/Aventura ,2013,INSATISFECHO,Muy Fácil, Diaria ,Profesional, Multiplataforma ,28,7,17,59,107,509,1.7,58.0,-20.0,56.8,71.8,
16092,gran turismo, Polyphony Digital ,  PlayStation,  Deportes,1997,Neutral,muy facil,Semanal, hardcore , Multiplataforma ,19,14,20,51,85,506,20.28,49.78,46.8,148.9,75.8,65.0
16093,AMONG US, InnerSloth , Multiplataforma , Indie ,2018,Muy Satisfecho, difícil ,Mensual,Hardcore,NINTENDO,46,7,20,44,84,472,57.47,3.72,81.9,191.5,54.1,65.0
16094,skyrim,BETHESDA, Multiplataforma ,RPG,2011,INSATISFECHO,Difícil,SEMANAL,Casual,MULTIPLATAFORMA,46,12,16,53,113,474,24.27,27.4,54.8,78.0,44.8,38.0
16095, God of War ,Santa Monica Studio ,PlayStation,accion/aventura,2018,neutral,dificil,semanal, hardcore ,playstation,44,9,19,42,89,509,12.44,213.9,49.2,142.0,57.5,75.0
16096, The Witcher 3 , CD Projekt ,Multiplataforma,rpg,2015,muy insatisfecho, Muy Fácil ,Semanal,CASUAL,PlayStation,16,10,13,39,110,502,9.93,39.78,94.1,36.7,35.8,74.0
16097,Super Smash Bros, Nintendo ,SWITCH, Lucha ,1999,satisfecho, difícil ,DIARIA, hardcore ,PLAYSTATION,53,8,13,54,114,513,5.64,63.3,86.5,53.6,58.7,43.0
16098,Dark Souls,FromSoftware,multiplataforma,  RPG,2011,MUY SATISFECHO,DIFÍCIL,semanal, intermedio ,playstation,50,14,18,50,90,497,,60.75,70.0,124.7,-2.5,47.0
16099,Super Smash Bros,nintendo, Switch , Lucha ,1999,INSATISFECHO,MUY FÁCIL, ocasional , Casual ,MULTIPLATAFORMA,52,17,15,45,105,493,34.26,71.41,73.0,48.8,50.9,57.0
16100,stardew valley, ConcernedApe ,  Multiplataforma,Indie,2016, Neutral,MUY FÁCIL,OCASIONAL,HARDCORE,Nintendo,39,10,15,47,107,522,3.18,5.06,,88.8,76.9,45.0
16101,The Legend of Zelda, Nintendo ,switch, Accion/Aventura ,2017,MUY INSATISFECHO,MEDIA,OCASIONAL,Intermedio,XBOX,18,5,18,40,103,498,19.29,35.98,88.8,20.5,51.9,
16102,AGE OF EMPIRES,Microsoft ,PC,ESTRATEGIA,1997,neutral, Muy Difícil ,MENSUAL,casual,MULTIPLATAFORMA,20,11,14,55,96,457,18.34,102.74,64.6,91.6,84.5,63.0
16103,starcraft,  Blizzard,  PC, Estrategia ,1998,insatisfecho,Fácil,MENSUAL, hardcore ,pc,19,13,17,43,101,527,8.02,17.91,80.0,197.7,44.7,38.0
16104, FIFA ,EA Sports,Multiplataforma ,DEPORTES,1993,Neutral,MUY FÁCIL,Semanal,HARDCORE, Multiplataforma ,23,12,17,42,111,461,22.87,18.21,,203.0,70.1,44.0
16105,overwatch,Blizzard ,MULTIPLATAFORMA,SHOOTER,2016,INSATISFECHO,Fácil,OCASIONAL,intermedio,PlayStation,45,9,19,69,108,528,16.14,0.81,89.7,,32.4,84.0
16106,Gran Turismo, Polyphony Digital , PlayStation ,  Deportes,1997,neutral,Media,DIARIA,PROFESIONAL, pc ,44,9,19,47,108,481,16.73,46.03,63.7,50000.0,69.2,91.0
16107,TOMB RAIDER, Crystal Dynamics ,Multiplataforma ,Accion/Aventura,2013,SATISFECHO, Muy Difícil , ocasional , profesional ,multiplataforma,34,6,8,44,99,497,53.73,171.47,54.4,81.6,54.7,71.0
16108,FINAL FANTASY,Square Enix,Multiplataforma ,rpg,1987,Insatisfecho,MUY DIFÍCIL,OCASIONAL,intermedio,nintendo,35,7,15,59,87,518,10.11,4.26,69.9,87.9,45.6,56.0
16109,Final Fantasy,SQUARE ENIX,MULTIPLATAFORMA,RPG,1987, insatisfecho ,muy dificil,mensual,Intermedio,nintendo,48,11,9,40,104,532,41.07,16.97,66.1,14.3,-1.5,51.0
16110,MORTAL KOMBAT,NETHERREALM, Multiplataforma , Lucha ,1992, Muy Satisfecho ,MEDIA,Mensual,CASUAL, pc ,46,12,12,62,91,491,33.82,29.69,91.1,58.7,44.9,71.0
16111,stardew valley, ConcernedApe ,  Multiplataforma,  Indie,2016,  Muy Satisfecho  ,Difícil,diaria,PROFESIONAL, Xbox ,51,9,18,64,105,493,33.58,105.26,,59.9,54.3,62.0
16112,overwatch, Blizzard ,Multiplataforma , Shooter ,2016,Insatisfecho, Muy Difícil , mensual ,casual,PC,33,7,17,53,89,501,43.51,81.87,95.4,318.2,66.6,28.0
16113,Dark Souls,FromSoftware ,MULTIPLATAFORMA,RPG,2011,MUY INSATISFECHO,Muy Difícil,DIARIA,hardcore,nintendo,38,9,16,47,89,509,31.8,43.02,,56.4,81.2,
16114,CALL OF DUTY,  Activision,MULTIPLATAFORMA,  Shooter,2003, Neutral,media,mensual,INTERMEDIO,PC,46,9,14,52,97,489,84.56,113.86,88.4,79.7,90.7,
16115, Street Fighter ,  Capcom,  Multiplataforma, Lucha ,1987,MUY INSATISFECHO,DIFÍCIL,OCASIONAL,casual,PLAYSTATION,12,12,14,56,113,492,45.03,75.25,75.0,76.2,74.9,75.0
16116,stardew valley,ConcernedApe , Multiplataforma ,Indie ,2016,satisfecho,Muy Difícil,OCASIONAL,INTERMEDIO,playstation,46,13,24,45,107,493,31.67,181.1,94.1,101.3,38.8,38.0
16117,fortnite,Epic Games ,MULTIPLATAFORMA,Shooter,2017,neutral, Muy Difícil ,diaria,casual,xbox,48,12,9,53,91,506,70.82,136.31,57.7,137.9,43.9,47.0
16118,gran turismo,polyphony digital,PLAYSTATION, Deportes ,1997,Muy Satisfecho,dificil,diaria,HARDCORE,PC,25,9,8,63,78,526,37.27,23.32,76.7,25.5,64.8,23.0
16119,gran turismo, Polyphony Digital ,PLAYSTATION,Deportes,1997,Insatisfecho, Muy Fácil , mensual ,hardcore,pc,14,5,14,46,103,525,13.76,25.33,69.1,75.2,60.4,92.0
16120, Assassins Creed ,ubisoft,multiplataforma,ACCION/AVENTURA,2007,Neutral, Muy Fácil ,mensual,Profesional, pc ,12,9,18,47,104,504,9.28,10.72,95.9,,82.6,53.0
16121,Minecraft,MOJANG,Multiplataforma,INDIE,2011,Muy Satisfecho,muy dificil,DIARIA, profesional ,PC,16,8,23,53,106,502,6.61,32.87,97.5,-100.0,99.6,107.0
16122,fifa, EA Sports ,  Multiplataforma,DEPORTES,1993,MUY INSATISFECHO,FÁCIL,DIARIA,Hardcore,XBOX,37,7,24,53,111,466,91.89,615.43,75.0,32.6,95.3,99.0
16123,MINECRAFT, Mojang ,multiplataforma,Indie,2011,muy satisfecho,dificil,Ocasional,casual,NINTENDO,25,4,15,51,96,540,,41.64,55.6,106.3,79.9,42.0
16124, Dark Souls ,FromSoftware,MULTIPLATAFORMA, RPG ,2011, Muy Insatisfecho ,DIFÍCIL,OCASIONAL,INTERMEDIO, Multiplataforma ,50,7,15,51,107,493,110.83,19.93,81.4,,60.6,
16125,the legend of zelda, Nintendo ,Switch,Accion/Aventura ,2017, insatisfecho , fácil ,diaria,hardcore,Xbox,38,9,24,51,96,473,36.98,,50.0,6.5,77.0,69.0
16126,APEX LEGENDS,RESPAWN,  Multiplataforma,Shooter,2019,neutral,dificil,OCASIONAL, hardcore ,NINTENDO,20,5,16,42,110,471,25.65,62.55,99.4,150.0,83.2,25.0
16127,the legend of zelda,  Nintendo,Switch ,  Accion/Aventura,2017, satisfecho ,MEDIA,SEMANAL,casual,NINTENDO,26,6,13,56,107,492,2.46,12.96,67.9,172.4,47.1,51.0
16128,Mortal Kombat,  NetherRealm,  Multiplataforma,Lucha ,1992, Muy Insatisfecho ,DIFÍCIL,MENSUAL,HARDCORE, Nintendo ,26,9,14,51,89,498,44.55,38.33,74.5,61.9,39.3,49.0
16129, Stardew Valley , ConcernedApe ,multiplataforma, Indie ,2016, Neutral,Difícil, ocasional ,Hardcore,PC,37,8,16,57,100,463,34.91,42.82,,409.3,34.7,97.0
16130,Hollow Knight,  Team Cherry,multiplataforma, Indie ,2017, satisfecho ,dificil,Semanal, Casual ,Xbox,53,7,8,41,108,474,185.05,112.14,61.5,154.5,32.5,63.0
16131, Fortnite ,epic games,multiplataforma,Shooter,2017,SATISFECHO,Difícil  ,diaria, hardcore , Nintendo ,24,9,13,44,122,502,10.93,1.67,86.1,148.6,22.4,54.0
16132,god of war, Santa Monica Studio ,  PlayStation,accion/aventura,2018, Muy Insatisfecho ,MEDIA,OCASIONAL,profesional,Multiplataforma,43,8,17,48,89,483,30.26,,72.6,137.8,55.0,47.0
